"Dte.","Barris","TOTAL","Espanyola","Estrangera"
"BARCELONA",,50274,35174,15100
1,"1. el Raval",2173,1043,1130
1,"2. el Barri Gòtic",765,440,325
1,"3. la Barceloneta",646,383,263
1,"4. Sant Pere, Santa Caterina i la Ribera",926,523,403
2,"5. el Fort Pienc",982,645,337
2,"6. la Sagrada Família",1637,1131,506
2,"7. la Dreta de l'Eixample",1421,991,430
2,"8. l'Antiga Esquerra de l'Eixample",1300,871,429
2,"9. la Nova Esquerra de l'Eixample",1809,1295,514
2,"10. Sant Antoni",1131,767,364
3,"11. el Poble Sec - AEI Parc Montjuïc",1605,984,621
3,"12. la Marina del Prat Vermell - AEI Zona Franca",48,44,4
3,"13. la Marina de Port",1023,718,305
3,"14. la Font de la Guatlla",392,257,135
3,"15. Hostafrancs",652,421,231
3,"16. la Bordeta",638,474,164
3,"17. Sants - Badal",1043,701,342
3,"18. Sants",1524,1025,499
4,"19. les Corts",1326,1045,281
4,"20. la Maternitat i Sant Ramon",802,612,190
4,"21. Pedralbes",358,280,78
5,"22. Vallvidrera, el Tibidabo i les Planes",137,113,24
5,"23. Sarrià",723,570,153
5,"24. les Tres Torres",423,326,97
5,"25. Sant Gervasi - la Bonanova",673,543,130
5,"26. Sant Gervasi - Galvany",1230,990,240
5,"27. el Putxet i el Farró",908,683,225
6,"28. Vallcarca i els Penitents",439,336,103
6,"29. el Coll",248,184,64
6,"30. la Salut",337,259,78
6,"31. la Vila de Gràcia",1615,1178,437
6,"32. el Camp d'en Grassot i Gràcia Nova",896,654,242
7,"33. el Baix Guinardó",714,518,196
7,"34. Can Baró",247,189,58
7,"35. el Guinardó",1026,746,280
7,"36. la Font d'en Fargues",217,182,35
7,"37. el Carmel",879,656,223
7,"38. la Teixonera",324,234,90
7,"39. Sant Genís dels Agudells",166,124,42
7,"40. Montbau",124,90,34
7,"41. la Vall d'Hebron",113,77,36
7,"42. la Clota",8,6,2
7,"43. Horta",600,443,157
8,"44. Vilapicina i la Torre Llobeta",648,448,200
8,"45. Porta",660,457,203
8,"46. el Turó de la Peira",450,300,150
8,"47. Can Peguera",54,50,4
8,"48. la Guineueta",258,209,49
8,"49. Canyelles",162,138,24
8,"50. les Roquetes",524,340,184
8,"51. Verdun",392,279,113
8,"52. la Prosperitat",730,519,211
8,"53. la Trinitat Nova",250,166,84
8,"54. Torre Baró",77,61,16
8,"55. Ciutat Meridiana",392,239,153
8,"56. Vallbona",51,43,8
9,"57. la Trinitat Vella",397,224,173
9,"58. Baró de Viver",90,72,18
9,"59. el Bon Pastor",439,321,118
9,"60. Sant Andreu",1369,1074,295
9,"61. la Sagrera",746,534,212
9,"62. el Congrés i els Indians",371,264,107
9,"63. Navas",659,464,195
10,"64. el Camp de l'Arpa del Clot",1269,933,336
10,"65. el Clot",752,543,209
10,"66. el Parc i la Llacuna del Poblenou",462,327,135
10,"67. la Vila Olímpica del Poblenou",220,174,46
10,"68. el Poblenou",956,677,279
10,"69. Diagonal Mar i el Front Marítim del Poblenou",385,305,80
10,"70. el Besòs i el Maresme",1082,604,478
10,"71. Provençals del Poblenou",633,484,149
10,"72. Sant Martí de Provençals",763,589,174
10,"73. la Verneda i la Pau",780,580,200
,"No consta",5,5,0
