titulo,latitud,longitud,lugar
"","43.5148206050484","-5.67951873915187",""
"CALLE INSTITUTO_6 - 1","43.5447646565996","-5.66368649959873","INSTITUTO"
"CALLE CLAUDIO ALVARGONZALEZ_S/N - 1","43.5458446714533","-5.66474503014677","PASEO CLAUDIO ALVARGONZALEZ"
"CALLE HONESTO BATALON_3 - 1","43.5474152602515","-5.66373039968503","HONESTO BATALON"
"CALLE MARIA BANDUJO_10 - 1","43.546530013823","-5.66213168924238","MARIA BANDUJO"
"CALLE MARQUES DE SAN ESTEBAN_56 - 1","43.5413404928053","-5.67017243789806","MARQUES SAN ESTEBAN 55"
"CALLE MARQUES DE SAN ESTEBAN_30 - 1","43.541827667877","-5.66796498119389","MARQUES SAN ESTEBAN 33"
"CALLE MARQUES DE SAN ESTEBAN_24 - 1","43.5421383441551","-5.66700194380749","MARQUES SAN ESTEBAN 25"
"CALLE MARQUES DE SAN ESTEBAN_4 - 1","43.543246787979","-5.66542289222922","MARQUES SAN ESTEBAN FRENTE GASOLIN."
"CALLE VENTURA ALVAREZ SALA_4 - 1","43.544606481202","-5.66237260202872","VENTURA ALV. SALA"
"CALLE  LA MERCED_22 - 3","43.5425402962368","-5.66233855901665","MERCED"
"PLAZA  DE EUROPA_5 - 1","43.5371263498648","-5.66253963681264","PL EUROPA"
"CALLE LIBERTAD_2 - 1","43.5417633664743","-5.66454698103229","LIBERTAD"
"AVDA TORCUATO FERNANDEZ MIRANDA_2 - 1","43.5377182593035","-5.64619219575741","TORCUATO F. MIRANDA"
"CALLE EZCURDIA_144 - 1","43.5374606298982","-5.6480181542572","EZCURDIA"
"CALLE VICENTE INNERARITY_124 - 1","43.5368225522429","-5.65010745065605","VICENTE INERARITY"
"CALLE VICENTE INNERARITY_10 - 1","43.5360709529116","-5.65066415066869","VICENTE INERARITY"
"CALLE MENENDEZ PELAYO_17 - 1","43.5395203117674","-5.65161672000343","MDEZ. PELAYO"
"CALLE MENENDEZ PELAYO_9 - 1","43.53871007394","-5.6522733028235","MDEZ. PELAYO"
"CALLE AGUADO_1 - 1","43.5375187157915","-5.65022674150388","AGUADO"
"CALLE AGUADO_19 - 1","43.5386136604053","-5.64929120361036","AGUADO"
"CALLE AGUADO_31 - 1","43.5394114895763","-5.64859761172017","AGUADO"
"AVDA COSTA_9 - 1","43.5395449646967","-5.66748635651152","LLANES"
"CALLE LUZ_S/N - 1","43.5402860252864","-5.68237691411177","PL. LUZ"
"CALLE ROSALIA DE CASTRO_21 - 1","43.5398902908576","-5.68990900239646","ROSALIA CASTRO"
"CALLE MARGARITA XIRGU_2 - 2","43.5388312078868","-5.69885943011887","MARGARITA XIRGU"
"CALLE ESTRELLA_1 - 1","43.5405986659035","-5.68873381806853","LA ESTRELLA"
"AVDA TORCUATO FERNANDEZ MIRANDA_50 - 1","43.5354366037875","-5.64000945309579","TORCUATO F. MIRANDA"
"PLAZA ROMUALDO ALVARGONZALEZ LANQUIN_5 - 2","43.5415935605106","-5.65875650437473","CAPUA"
"CALLE SANTA DORADIA_2 - 1","43.5390867504551","-5.65744421845332","SANTA DORADIA"
"CALLE COVADONGA_32 - 1","43.5388227927538","-5.66166722120183","COVADONGA"
"CALLE CASIMIRO VELASCO_20 - 1","43.5396714415666","-5.66092821404469","CASIMIRO VELASCO"
"CTRA VILLAVICIOSA_23 - 1","43.5339498126716","-5.63927072053888","VILLAVICIOSA"
"CALLE PINTOR CARREÑO MIRANDA_7 - 1","43.5354820061421","-5.64441882442174","CARREÑO MIRANDA"
"CALLE PARIS_S/N - 1","43.53467098672","-5.63988497589883","PARIS"
"CALLE PINTOR MAROLA_2 - 1","43.5365018079416","-5.64551063862268","PINTOR MAROLA"
"CALLE GENERAL SUAREZ VALDES_6 - 1","43.5358494607016","-5.64793168191027","GRAL SUAREZ VALDES"
"AVDA TORCUATO FERNANDEZ MIRANDA_22 - 1","43.5366809253536","-5.64414113698607","TORCUATO FDEZ. MIRANDA"
"CALLE ALFREDO TRUAN_2 - 1","43.537742808206","-5.66195663677748","ALFREDO TRUAN"
"CALLE ALFREDO TRUAN_8 - 1","43.537335663176","-5.6618021219584","ALFREDO TRUAN"
"CMNO MACHACON_S/N - 1","43.518856665347","-5.68326604505148","MECANICOS"
"CALLE ESMERALDA MASEDA_20 - 1","43.517674716846","-5.68154770948647","ESMERALDA MASEDA"
"CALLE PINTORA CONCHA MORI_S/N - 1","43.517306823659","-5.6804981698376","CONCHA MORI"
"CALLE FEIJOO_31 - 1","43.5322987795284","-5.65391349752709","FEIJOO"
"CALLE CALDERON DE LA BARCA_1 - 1","43.5344145012741","-5.6532414139417","CALDERON DE LA BARCA"
"CALLE SAGRADO CORAZON_38 - 1","43.533361561664","-5.65407849910528","SAGRADO CORAZON"
"CALLE CONDE TORENO_9 - 1","43.5311474007479","-5.65421127454427","CONDE TORENO"
"AVDA  DE ROCES_195 - 1","43.5114424021813","-5.66760868248564","SOGEPSA"
"CALLE ALICIA CONCEPCION ALVAREZ_310 - 1","43.5103843178279","-5.67460962177325","SOGEPSA"
"CALLE JENARO SUAREZ PRENDES_260 - 1","43.5092827838196","-5.67468611979251","SOGEPSA"
"AVDA  DE ROCES_1020 - 1","43.5103305255044","-5.67124617525458","SOGEPSA"
"CALLE GARCILASO DE LA VEGA_2 - 1","43.5393296005237","-5.65519186291348","GARCILASO DE LA VEGA"
"CALLE ALICIA CONCEPCION ALVAREZ_400 - 1","43.5093132449631","-5.67762749928679","SOGEPSA"
"CALLE CESAR MAESE ALONSO_380 - 1","43.5078361307323","-5.67761679317382","SOGEPSA"
"CALLE JOSE ANTON MAGARZO_240 - 1","43.5100585719808","-5.66757501794327","SOGEPSA"
"CALLE JOSE ANTON MAGARZO_410 - 1","43.5093335982567","-5.66968211227668","SOGEPSA"
"CALLE RAMON GOMEZ LOZANA_230 - 1","43.5092378696016","-5.67094310597817","SOGEPSA"
"CALLE RAMON GOMEZ LOZANA_160 - 1","43.5099691061098","-5.67140317487338","SOGEPSA"
"CALLE JENARO SUAREZ PRENDES_132 - 1","43.5103424602788","-5.67526542299654","SOGEPSA"
"CALLE JENARO SUAREZ PRENDES_188 - 1","43.5098662678173","-5.67508964266498","SOGEPSA"
"CALLE RECTORIA_2 - 1","43.5437755508364","-5.66178274463535","JULIO SOMOZA"
"CALLE MAESTRINES_S/N - 1","43.546065022383","-5.66119019704114","AVE MARIA, LADO IGLESIA SAN PEDRO"
"CALLE SAN MELCHOR DE QUIROS_6 - 1","43.5441773567024","-5.66351604919521","FRAY MELCHOR ESQ. INSTITUTO"
"CALLE ALVAREZ GARAYA_12 - 1","43.5411999039743","-5.66562638235492","ALVAREZ GARAYA LADO IGLESIA SAN JOSE"
"CALLE DONATO ARGUELLES_4 - 1","43.5407491611491","-5.66506920592915","DONATO ARGUELLES"
"CALLE NUMA GUILHOU_16 - 1","43.5418384202997","-5.6658730961414","EL CARMEN"
"CALLE INFANCIA_7 - 1","43.538255855867","-5.66637541835889","PRENDES PANDO"
"CALLE GERONA_1 - 1","43.5406278790881","-5.68544973714948","GERONA ESQ. GALICIA"
"CALLE LABORATORIOS_3 - 1","43.5388748641988","-5.69104090170376","LABORATORIOS Nº 2"
"CALLE CORTES DE CADIZ_S/N - 1","43.5380849792468","-5.68476995036783","CORTES DE CADIZ Nº 5"
"CALLE PUERTO RICO_22 - 1","43.5418404966806","-5.69837213951431","PUERTO RICO"
"PLAZA ASTURCON_2 - 1","43.5370006679332","-5.68383167710878","PLAZA HABANA 11"
"PLAZA CIUDAD DE LA HABANA_13 - 1","43.5369842487936","-5.68312065063247","PLAZA HABANA 5"
"CALLE DESFILADERO LES XANES_2 - 2","43.5362836629889","-5.68213341762758","DESFILADERO DE LAS XANAS 2"
"CALLE MIGUEL SERVET_2 - 1","43.5406958454296","-5.70006280280564","MIGUEL SERVET 4"
"CALLE CARLOS MARX_11 - 1","43.5357957778145","-5.67221105915023","CARLOS MARX 18"
"CALLE CARLOS MARX_11 - 1","43.5365683288154","-5.67295775680346","CARLOS MARX 30"
"CALLE CARLOS MARX_11 - 2","43.537341296082","-5.67361570436997","CARLOS MARX 50"
"AVDA COSTA_9 - 1","43.5395595898667","-5.66749838499163","LASTRES"
"CALLE FILOSOFO JOSE GAOS_S/N - 1","43.5343804146187","-5.67147241813706","CARLOS MARX 13"
"CALLE DOCTOR AQUILINO HURLE_49 - 1","43.5398184707052","-5.64697393085561","DOCTOR HURLE"
"CALLE DOCTOR AQUILINO HURLE_33 - 1","43.5387994222922","-5.64785138051425","DOCTORU HURLE"
"CALLE CAMIN DE LA FONTICA (LA SALLE)_7 - 1","43.5471048036415","-5.66035135414265","LA SALLE"
"CALLE URIA_46 - 1","43.5379321321737","-5.65410602866623","URIA"
"CALLE URIA_34 - 1","43.5384101642511","-5.65520158552008","URIA"
"CALLE URIA_20 - 1","43.5387935671077","-5.65609265700469","URIA"
"CALLE URIA_4 - 1","43.5391895641379","-5.6570116131839","URIA"
"CALLE ARTILLERIA_34 - 1","43.5476278397321","-5.66618981028819","ARTILLERIA"
"CALLE CLAUDIO ALVARGONZALEZ_S/N - 1","43.5462036978235","-5.66511605456845","CLAUDIO ALVARGONZALEZ"
"CALLE CAMPO VALDES_1 - 1","43.5453354088903","-5.66222254241279","CAMPO VALDES"
"AVDA  DE DIONISIO CIFUENTES_01 - 1","43.5361119104064","-5.62262991444042","SOMIO"
"CALLE ANDALUCIA_26 - 1","43.5274567388696","-5.670365485062","ANDALUCIA"
"CALLE URUGUAY_1 - 1","43.5392707424311","-5.69764050702046","URUGUAY"
"CALLE PERU_1 - 1","43.5394246183841","-5.69645436637729","PERU"
"CALLE ORIENTAL_1 - 1","43.5394508367023","-5.69674695597489","ORIENTAL"
"CALLE SIMON GONZALEZ_18 - 1","43.5406174668371","-5.69559683688406","SIMON GONZALEZ"
"CMNO  DEL CORTIJO_40 - 1","43.5380122488934","-5.6887076410102","CAMINO DEL CORTIJO LADO COLEGIO"
"CALLE SAN BERNARDO_70 - 1","43.5378873837763","-5.66001647919922","SAN BERNARDO"
"CMNO  DEL CORTIJO_4 - 1","43.5387963099186","-5.68614477630444","CAMINO DEL CORTIJO ESQUINA ZARAGOZA"
"CALLE ALICIA CONCEPCION ALVAREZ_310 - 1","43.5111560635977","-5.67227705156271","ALICIA CONCEPCION ESQ. BENITO OTERO"
"CALLE CESAR MAESE ALONSO_60 - 1","43.5087643938861","-5.67135912517149","CESAR MAESE ALONSO 60"
"CALLE CESAR MAESE ALONSO_250 - 1","43.5080303935411","-5.67356585497937","CESAR MAESE ALONSO 250"
"CAMIN  DEL  CARBAYU (GRANDA)_87 - 2","43.5004606690983","-5.6601172045519","CARBAYERA DE GRANDA"
"CALLE CESAR MAESE ALONSO_300 - 1","43.5078505105332","-5.67403349492834","CESAR MAESE ALONSO LADO IZDO. CRUCE CON GENARO SUAREZ VALDES"
"CALLE DON JUAN DE AUSTRIA_132 - 3","43.5384713753293","-5.70448045356823","DON JUAN DE AUSTRIA 2"
"CALLE MANUEL R ALVAREZ_27 - 1","43.5406777155987","-5.70089984516191","MANUEL R. ALVAREZ"
"","43.5298290881607","-5.70105291642099","PL TREMAÑES"
"","43.5414941284956","-5.63646713337694","PL SOMIO"
"","43.5146043416765","-5.67941813652551","PL ROCES"
"CALLE SIMON BOLIVAR_6 - 1","43.5356114314038","-5.70026385535297","PL CALZADA"
