"Centro","Nombre actividad","Participantes","Curso"
"UP TAMARACEITE","DICIEMBRE 2014","Taller de iniciación al inglés",8,"2014/2015"
"UP TAMARACEITE","DICIEMBRE 2014","Iniciación a la guitarra",10,"2014/2015"
"UP CIUDAD ALTA","ENERO 2015","Yoga y técnicas de relajación",18,"2014/2015"
"UP CIUDAD ALTA","ENERO 2015","Reciclado de prendas de ropa con técnicas de patchwork",15,"2014/2015"
"UP CIUDAD ALTA","ENERO 2015","Elaborar bebé syra my doll house",20,"2014/2015"
"UP CIUDAD ALTA","ENERO 2015","Elaborar una brujita en goma eva",15,"2014/2015"
"UP CIUDAD ALTA","ENERO 2015","Técnica de repujado",10,"2014/2015"
"UP CIUDAD ALTA","ENERO 2015","Elaborar marcador de libro muñeca de trapo",10,"2014/2015"
"UP CIUDAD ALTA","ENERO 2015","Hacer una cajita de regalo con cartulinas",9,"2014/2015"
"UP CIUDAD ALTA","ENERO 2015","Ruta de la sal",28,"2014/2015"
"UP CONO SUR","ENERO 2015","Cesta tejida a trapillo",7,"2014/2015"
"UP CONO SUR","ENERO 2015","Tortas desayuno de la India",17,"2014/2015"
"UP CONO SUR","ENERO 2015","Elaboración de bolso en cartonaje",15,"2014/2015"
"UP CONO SUR","ENERO 2015","Gestionar el stress","-","2014/2015"
"UP CONO SUR","ENERO 2015","Elaboración de reloj cuco en patchwork",17,"2014/2015"
"UP CONO SUR","ENERO 2015","Ruta de senderismo los volcanes recientes",43,"2014/2015"
"UP GUANARTEME","ENERO 2015","Carne cochino",15,"2014/2015"
"UP GUANARTEME","ENERO 2015","Risoterapia",15,"2014/2015"
"UP GUANARTEME","ENERO 2015","Introducción a la informática",8,"2014/2015"
"UP GUANARTEME","ENERO 2015","Cocina marroquí",15,"2014/2015"
"UP GUANARTEME","ENERO 2015","Ruta de senderismo",45,"2014/2015"
"UP GUANARTEME","ENERO 2015","Aprender a montar en bici",15,"2014/2015"
"UP GUANARTEME","ENERO 2015","Ecoescucha",15,"2014/2015"
"UP LA ISLETA","ENERO 2015","Bolso de cartonaje",12,"2014/2015"
"UP LA ISLETA","ENERO 2015","Creación de necesswer",14,"2014/2015"
"UP LOMO BLANCO","ENERO 2015","Iniciación a la cata de vinos, para camareros",15,"2014/2015"
"UP LOMO BLANCO","ENERO 2015","Taller de video curriculum",12,"2014/2015"
"UP LOMO BLANCO","ENERO 2015","Manipulador de alimentos",25,"2014/2015"
"UP TAMARACEITE","ENERO 2015","Pintura al óleo con espátula",12,"2014/2015"
"UP TAMARACEITE","ENERO 2015","Iniciación al Internet",19,"2014/2015"
"UP TAMARACEITE","ENERO 2015","Taller de trapillo",15,"2014/2015"
"UP TAMARACEITE","ENERO 2015","Taller de zumba",14,"2014/2015"
"UP CIUDAD ALTA","FEBRERO 2015","Auto maquillaje",15,"2014/2015"
"UP CIUDAD ALTA","FEBRERO 2015","Lámpara con aplicaciones decorativas",16,"2014/2015"
"UP CIUDAD ALTA","FEBRERO 2015","Cesta trapillo",17,"2014/2015"
"UP CIUDAD ALTA","FEBRERO 2015","Taller social de radio",11,"2014/2015"
"UP CIUDAD ALTA","FEBRERO 2015","Decoloración y estampación de ropa",11,"2014/2015"
"UP CIUDAD ALTA","FEBRERO 2015","Bufanda hecha sin agujas",13,"2014/2015"
"UP CONO SUR","FEBRERO 2015","Auto depilación",17,"2014/2015"
"UP CONO SUR","FEBRERO 2015","Exposición de bolsos en tela y pañuelos (pintados con la técnica de seda)","-","2014/2015"
"UP CONO SUR","FEBRERO 2015","Tatuaje de henna",14,"2014/2015"
"UP CONO SUR","FEBRERO 2015","Diferentes tipos de salsa",13,"2014/2015"
"UP CONO SUR","FEBRERO 2015","Lienzo con decoupage",10,"2014/2015"
"UP GUANARTEME","FEBRERO 2015","Visita guiada a la fundación Juan Negrín",15,"2014/2015"
"UP GUANARTEME","FEBRERO 2015","Costura rápida",15,"2014/2015"
"UP GUANARTEME","FEBRERO 2015","Introducción a la informática",9,"2014/2015"
"UP GUANARTEME","FEBRERO 2015","Introducción al word",9,"2014/2015"
"UP GUANARTEME","FEBRERO 2015","Aprender a montar en bici",15,"2014/2015"
"UP GUANARTEME","FEBRERO 2015","Cocina del mundo cuscús",15,"2014/2015"
"UP GUANARTEME","FEBRERO 2015","Garbanzada",15,"2014/2015"
"UP GUANARTEME","FEBRERO 2015","Cocina del mundo corea",15,"2014/2015"
"UP GUANARTEME","FEBRERO 2015","Iniciación a la autoestima",20,"2014/2015"
"UP GUANARTEME","FEBRERO 2015","Victoria sponge-cake",15,"2014/2015"
"UP LA ISLETA","FEBRERO 2015","Estimulación de la memoria",12,"2014/2015"
"UP LA ISLETA","FEBRERO 2015","Decoración de sombreros",9,"2014/2015"
"UP LA ISLETA","FEBRERO 2015","Creación de panel decorativo",10,"2014/2015"
"UP LA ISLETA","FEBRERO 2015","Elaboración de cesta",10,"2014/2015"
"UP LOMO BLANCO","FEBRERO 2015","Fundas de cartonaje",13,"2014/2015"
"UP LOMO BLANCO","FEBRERO 2015","Taller de radio",12,"2014/2015"
"UP LOMO BLANCO","FEBRERO 2015","Menú de cabo verde",16,"2014/2015"
"UP LOMO BLANCO","FEBRERO 2015","Menú africano de Mali",19,"2014/2015"
"UP LOMO BLANCO","FEBRERO 2015","Ruta de las acequias",45,"2014/2015"
"UP LOMO BLANCO","FEBRERO 2015","Menú hindú",19,"2014/2015"
"UP LOMO BLANCO","FEBRERO 2015","Manipulador de alimentos",28,"2014/2015"
"UP LOMO BLANCO","FEBRERO 2015","Iniciación a la cata. sidra",15,"2014/2015"
"UP LOMO BLANCO","FEBRERO 2015","Preparación de montaditos",15,"2014/2015"
"UP TAMARACEITE","FEBRERO 2015","Taller de zumba",10,"2014/2015"
"UP TAMARACEITE","FEBRERO 2015","Taller de bailes latinos",32,"2014/2015"
"UP TAMARACEITE","FEBRERO 2015","Taller de constelaciones familiares",17,"2014/2015"
"UP TAMARACEITE","FEBRERO 2015","Ruta de senderismo pinar húmedo",45,"2014/2015"
"UP CIUDAD ALTA","JULIO 2015","Fofucha en hamaca","-","2014/2015"
"UP LOMO BLANCO","JULIO 2015","Cata de cervezas","-","2014/2015"
"UP LOMO BLANCO","JULIO 2015","Como realizar llaveros con toallas","-","2014/2015"
"UP TAMARACEITE","JULIO 2015","Creación de bolsos - toallas para playa","-","2014/2015"
"UP TAMARACEITE","JULIO 2015","Manipulador de alimentos","-","2014/2015"
"UP CIUDAD ALTA","JUNIO 2015","Recicla tus viejos vaqueros",18,"2014/2015"
"UP CIUDAD ALTA","JUNIO 2015","Fofucha en sofá",10,"2014/2015"
"UP CIUDAD ALTA","JUNIO 2015","Decoupage en bolso, pamela y sombrero",11,"2014/2015"
"UP CIUDAD ALTA","JUNIO 2015","Exposición talleres y actividades del centro","-","2014/2015"
"UP CIUDAD ALTA","JUNIO 2015","Fiesta de fin de curso",80,"2014/2015"
"UP CIUDAD ALTA","JUNIO 2015","Retrato exprés actividad cerrada",14,"2014/2015"
"UP CONO SUR","JUNIO 2015","Bolso y neceser de playa elaborado en patchwork",15,"2014/2015"
"UP CONO SUR","JUNIO 2015","Encuentro fin de curso. Teror - Osorio","-","2014/2015"
"UP CONO SUR","JUNIO 2015","Menú cordobés","-","2014/2015"
"UP CONO SUR","JUNIO 2015","Trapera canaria a ganchillo","-","2014/2015"
"UP CONO SUR","JUNIO 2015","Bordado en cinta","-","2014/2015"
"UP CONO SUR","JUNIO 2015","Restauración de muebles","-","2014/2015"
"UP GUANARTEME","JUNIO 2015","Cómo hacer crema de caléndula",15,"2014/2015"
"UP GUANARTEME","JUNIO 2015","Hábitos saludables","-","2014/2015"
"UP GUANARTEME","JUNIO 2015","Cocinas del mundo",15,"2014/2015"
"UP GUANARTEME","JUNIO 2015","Aprender a montar en bici",15,"2014/2015"
"UP GUANARTEME","JUNIO 2015","Artenara cultural","-","2014/2015"
"UP GUANARTEME","JUNIO 2015","Cocina canaria",15,"2014/2015"
"UP GUANARTEME","JUNIO 2015","Cocina marroquí",15,"2014/2015"
"UP GUANARTEME","JUNIO 2015","Excursión a los llanos de Ana López","-","2014/2015"
"UP LA ISLETA","JUNIO 2015","Risoterapia",14,"2014/2015"
"UP LA ISLETA","JUNIO 2015","Ruta arqueológica del sur","-","2014/2015"
"UP LA ISLETA","JUNIO 2015","Maquillaje","-","2014/2015"
"UP LA ISLETA","JUNIO 2015","Ruta arqueológica del norte","-","2014/2015"
"UP LA ISLETA","JUNIO 2015","Excursión","-","2014/2015"
"UP LA ISLETA","JUNIO 2015","Fiesta de clausura","-","2014/2015"
"UP LOMO BLANCO","JUNIO 2015","Entrega de diplomas",100,"2014/2015"
"UP LOMO BLANCO","JUNIO 2015","Como hacer un blog en la red",9,"2014/2015"
"UP LOMO BLANCO","JUNIO 2015","Manipulador de alimentos",18,"2014/2015"
"UP LOMO BLANCO","JUNIO 2015","Como decorar zapatillas, esclavas",10,"2014/2015"
"UP LOMO BLANCO","JUNIO 2015","Exposición de talleres permanentes",150,"2014/2015"
"UP TAMARACEITE","JUNIO 2015","Ruta de senderismo ruta bosque Doramas","-","2014/2015"
"UP TAMARACEITE","JUNIO 2015","Acto festivo de clausura del curso 2014 - 2015 (fiesta del sombrero)","-","2014/2015"
"UP TAMARACEITE","JUNIO 2015","Excursión a las mesas de Ana López","-","2014/2015"
"UP TAMARACEITE","JUNIO 2015","Pintura decorativa para calzado de verano","-","2014/2015"
"UP TAMARACEITE","JUNIO 2015","Exposición muestra del final del curso (casa de la cultura de Tamaraceite)","-","2014/2015"
"UP CIUDAD ALTA","MARZO 2015","Muñeca gorjus en goma eva",16,"2014/2015"
"UP CIUDAD ALTA","MARZO 2015","Risoterapia",21,"2014/2015"
"UP CIUDAD ALTA","MARZO 2015","Ruta de senderismo tajinaste azul",45,"2014/2015"
"UP CIUDAD ALTA","MARZO 2015","Pulseras de trapillo",10,"2014/2015"
"UP CIUDAD ALTA","MARZO 2015","Retrato exprés",13,"2014/2015"
"UP CIUDAD ALTA","MARZO 2015","Aprende a hacer patrones para boquillas de bolso",20,"2014/2015"
"UP CIUDAD ALTA","MARZO 2015","Muñeca para el reciclado de bolsas",14,"2014/2015"
"UP CONO SUR","MARZO 2015","Iniciación a la lucha del garrote canario",3,"2014/2015"
"UP CONO SUR","MARZO 2015","Monedero con anillas recicladas",12,"2014/2015"
"UP CONO SUR","MARZO 2015","Ruta etnográfica: la laguna de Valleseco - pico de Osorio - los castillos - Riquiánez - Arucas",50,"2014/2015"
"UP CONO SUR","MARZO 2015","Comida de la India",14,"2014/2015"
"UP GUANARTEME","MARZO 2015","Ruta de las tres grandes presas",28,"2014/2015"
"UP GUANARTEME","MARZO 2015","Iniciación a la autoestima",20,"2014/2015"
"UP GUANARTEME","MARZO 2015","Introducción a la informática",9,"2014/2015"
"UP GUANARTEME","MARZO 2015","Iniciación a Internet",10,"2014/2015"
"UP GUANARTEME","MARZO 2015","Manipulador de alimentos",20,"2014/2015"
"UP GUANARTEME","MARZO 2015","Aprender a montar en bici",15,"2014/2015"
"UP GUANARTEME","MARZO 2015","Aperitivos salados",15,"2014/2015"
"UP GUANARTEME","MARZO 2015","Cocina canaria- sancocho",15,"2014/2015"
"UP GUANARTEME","MARZO 2015","Cocina boliviana- empanada",15,"2014/2015"
"UP GUANARTEME","MARZO 2015","Documental: mujeres canarias",12,"2014/2015"
"UP GUANARTEME","MARZO 2015","Aura-soma",20,"2014/2015"
"UP GUANARTEME","MARZO 2015","La Pastela",10,"2014/2015"
"UP GUANARTEME","MARZO 2015","Como utilizar el whatsapp",15,"2014/2015"
"UP GUANARTEME","MARZO 2015","Huerto para jóvenes",15,"2014/2015"
"UP LA ISLETA","MARZO 2015","Tatuajes de henna",15,"2014/2015"
"UP LA ISLETA","MARZO 2015","Taller de arreglos de costura",14,"2014/2015"
"UP LA ISLETA","MARZO 2015","Creación de cuadros en decoupage",10,"2014/2015"
"UP LOMO BLANCO","MARZO 2015","Proyecto habilidades para la restauración",20,"2014/2015"
"UP LOMO BLANCO","MARZO 2015","Exposición""lo que llevo en mí cabeza""",150,"2014/2015"
"UP LOMO BLANCO","MARZO 2015","Pañoletas de ganchillo",18,"2014/2015"
"UP LOMO BLANCO","MARZO 2015","Repostería hindú",20,"2014/2015"
"UP LOMO BLANCO","MARZO 2015","Menú marroquí",19,"2014/2015"
"UP LOMO BLANCO","MARZO 2015","Bolsos y alpargatas",17,"2014/2015"
"UP TAMARACEITE","MARZO 2015","Ruta cruz de Tejeda",42,"2014/2015"
"UP TAMARACEITE","MARZO 2015","Taller de pintura al temple","-","2014/2015"
"UP TAMARACEITE","MARZO 2015","Taller de decoupage",12,"2014/2015"
"UP CIUDAD ALTA","MAYO 2015","Futbolistas en goma eva",12,"2014/2015"
"UP CIUDAD ALTA","MAYO 2015","Bolso técnica mixta",21,"2014/2015"
"UP CIUDAD ALTA","MAYO 2015","Inteligencia emocional",21,"2014/2015"
"UP CIUDAD ALTA","MAYO 2015","Muñeca de trapo",15,"2014/2015"
"UP CIUDAD ALTA","MAYO 2015","Alfiletero sombrerito",8,"2014/2015"
"UP CIUDAD ALTA","MAYO 2015","Exposición labores tejidas con rejillas pl´saticas","-","2014/2015"
"UP CONO SUR","MAYO 2015","Elaboración de montaditos",16,"2014/2015"
"UP CONO SUR","MAYO 2015","Menú ruso",18,"2014/2015"
"UP GUANARTEME","MAYO 2015","Senderismo",40,"2014/2015"
"UP GUANARTEME","MAYO 2015","Aprender a montar en bici",15,"2014/2015"
"UP GUANARTEME","MAYO 2015","Ruta cultural por Tejeda",40,"2014/2015"
"UP GUANARTEME","MAYO 2015","Introducción al power point",9,"2014/2015"
"UP GUANARTEME","MAYO 2015","Cocinas del mundo",15,"2014/2015"
"UP GUANARTEME","MAYO 2015","Potaje de berros",15,"2014/2015"
"UP GUANARTEME","MAYO 2015","Decoración de camisetas con patchwork",15,"2014/2015"
"UP GUANARTEME","MAYO 2015","Elaboración queso tinto",15,"2014/2015"
"UP GUANARTEME","MAYO 2015","Cocina marroquí-pollo con almendras",15,"2014/2015"
"UP GUANARTEME","MAYO 2015","Degustación",15,"2014/2015"
"UP GUANARTEME","MAYO 2015","Jornada de historia oral del barrio de Guanarteme",20,"2014/2015"
"UP LA ISLETA","MAYO 2015","Autoestima y cuidado de la imagen personal",12,"2014/2015"
"UP LA ISLETA","MAYO 2015","Creación de guardabolsas y manopla",8,"2014/2015"
"UP LA ISLETA","MAYO 2015","Elaboración de muñeca de trapo canaria",15,"2014/2015"
"UP LA ISLETA","MAYO 2015","Elaboración de estuche de boquilla",15,"2014/2015"
"UP LOMO BLANCO","MAYO 2015","Exposición lo que llevo en mí cabeza""san francisco de paula""",70,"2014/2015"
"UP LOMO BLANCO","MAYO 2015","Ruta curva del agua",32,"2014/2015"
"UP LOMO BLANCO","MAYO 2015","Exposición de artesanía",140,"2014/2015"
"UP LOMO BLANCO","MAYO 2015","Iniciación a la cata de cervezas",16,"2014/2015"
"UP LOMO BLANCO","MAYO 2015","Habilidades en hostelería",22,"2014/2015"
"UP LOMO BLANCO","MAYO 2015","Mojos canarios",16,"2014/2015"
"UP LOMO BLANCO","MAYO 2015","Manipulador de alimentos",19,"2014/2015"
"UP TAMARACEITE","MAYO 2015","Visita cultural al museo de la ciencia y el mar en el castillo de Mata",27,"2014/2015"
"UP TAMARACEITE","MAYO 2015","Taller pintura en telas","-","2014/2015"
"UP TAMARACEITE","MAYO 2015","Taller de iniciación al Internet","-","2014/2015"
"UP CIUDAD ALTA","NOVIEMBRE 2014","Costura básica para principiantes",16,"2014/2015"
"UP CIUDAD ALTA","NOVIEMBRE 2014","Elaborar una muñeca de patchwork",15,"2014/2015"
"UP CIUDAD ALTA","NOVIEMBRE 2014","Elaborar pulseras y brazaletes con materiales reciclados",15,"2014/2015"
"UP CIUDAD ALTA","NOVIEMBRE 2014","Manipulador de alimentos",29,"2014/2015"
"UP CIUDAD ALTA","NOVIEMBRE 2014","Elaborar portaretrato con muñeca de goma eva",15,"2014/2015"
"UP CIUDAD ALTA","NOVIEMBRE 2014","Campaña de recogida de alimentos","-","2014/2015"
"UP CIUDAD ALTA","NOVIEMBRE 2014","Encuentro para decoración del centro.",30,"2014/2015"
"UP CONO SUR","NOVIEMBRE 2014","Ruta de senderismo",31,"2014/2015"
"UP CONO SUR","NOVIEMBRE 2014","Manipulador de alimentos",19,"2014/2015"
"UP CONO SUR","NOVIEMBRE 2014","Kokedama",15,"2014/2015"
"UP CONO SUR","NOVIEMBRE 2014","Detalle a punto de cruz","-","2014/2015"
"UP CONO SUR","NOVIEMBRE 2014","Encuentro de navidad",60,"2014/2015"
"UP GUANARTEME","NOVIEMBRE 2014","Entrenando la memoria",15,"2014/2015"
"UP GUANARTEME","NOVIEMBRE 2014","Ruta etnográfica: barranco Guiniguada",20,"2014/2015"
"UP GUANARTEME","NOVIEMBRE 2014","Excursión cultural: Valsequillo",55,"2014/2015"
"UP GUANARTEME","NOVIEMBRE 2014","Caldo macho",10,"2014/2015"
"UP GUANARTEME","NOVIEMBRE 2014","Introducción a Internet",9,"2014/2015"
"UP GUANARTEME","NOVIEMBRE 2014","Cocina marroquí",18,"2014/2015"
"UP GUANARTEME","NOVIEMBRE 2014","Charla de feng shui",25,"2014/2015"
"UP GUANARTEME","NOVIEMBRE 2014","Aprender a montar en bici",15,"2014/2015"
"UP LOMO BLANCO","NOVIEMBRE 2014","Camisetas decoradas. Recogida de alimentos",120,"2014/2015"
"UP LOMO BLANCO","NOVIEMBRE 2014","Menú marroquí.",18,"2014/2015"
"UP LOMO BLANCO","NOVIEMBRE 2014","Iniciación a la cata de vinos",15,"2014/2015"
"UP LOMO BLANCO","NOVIEMBRE 2014","Ruta castañedos",43,"2014/2015"
"UP LOMO BLANCO","NOVIEMBRE 2014","Taller bolsos de cartonaje",18,"2014/2015"
"UP LOMO BLANCO","NOVIEMBRE 2014","Taller de iniciación al calado",15,"2014/2015"
"UP LOMO BLANCO","NOVIEMBRE 2014","Iniciación a la informática, para mayores",10,"2014/2015"
"UP TAMARACEITE","NOVIEMBRE 2014","Taller de iniciación a la acuarela",12,"2014/2015"
"UP TAMARACEITE","NOVIEMBRE 2014","Taller acercándonos a la sexualidad",21,"2014/2015"
"UP TAMARACEITE","NOVIEMBRE 2014","Curso de iniciación a la informática",17,"2014/2015"
"UP TAMARACEITE","NOVIEMBRE 2014","Taller de zumba",8,"2014/2015"
"UP CIUDAD ALTA","OCTUBRE 2014","Ruta senderismo cazadores",27,"2014/2015"
"UP CIUDAD ALTA","OCTUBRE 2014","Aprender a pintar caras de muñecos",15,"2014/2015"
"UP CONO SUR","OCTUBRE 2014","Teñido de prendas de vestir",12,"2014/2015"
"UP CONO SUR","OCTUBRE 2014","Ruta cultural por Valleseco",44,"2014/2015"
"UP CONO SUR","OCTUBRE 2014","Huerto ecológico en macetas",7,"2014/2015"
"UP GUANARTEME","OCTUBRE 2014","Huerto urbano",15,"2014/2015"
"UP GUANARTEME","OCTUBRE 2014","Ciber up","-","2014/2015"
"UP GUANARTEME","OCTUBRE 2014","Club de lecturas","-","2014/2015"
"UP GUANARTEME","OCTUBRE 2014","Escritura creativa",15,"2014/2015"
"UP GUANARTEME","OCTUBRE 2014","Informática básica",9,"2014/2015"
"UP GUANARTEME","OCTUBRE 2014","Ruta urbana",15,"2014/2015"
"UP GUANARTEME","OCTUBRE 2014","Celebración finaos",200,"2014/2015"
"UP GUANARTEME","OCTUBRE 2014","Ruta del valle Agaete",32,"2014/2015"
"UP GUANARTEME","OCTUBRE 2014","Carajacas",12,"2014/2015"
"UP GUANARTEME","OCTUBRE 2014","Recogida de tapones solidarios","-","2014/2015"
"UP GUANARTEME","OCTUBRE 2014","Abc de la inteligencia emocional",16,"2014/2015"
"UP GUANARTEME","OCTUBRE 2014","Dulces marroquís",18,"2014/2015"
"UP LA ISLETA","OCTUBRE 2014","Taller de punto de cruz",9,"2014/2015"
"UP LA ISLETA","OCTUBRE 2014","Ruta el Confital-las salinas",12,"2014/2015"
"UP LA ISLETA","OCTUBRE 2014","Curso de adiestramiento de perros",10,"2014/2015"
"UP LA ISLETA","OCTUBRE 2014","Ruta de los acebuches",40,"2014/2015"
"UP LOMO BLANCO","OCTUBRE 2014","Taller galletas artesanales",16,"2014/2015"
"UP LOMO BLANCO","OCTUBRE 2014","Manipulación de alimentos",19,"2014/2015"
"UP LOMO BLANCO","OCTUBRE 2014","Locución y expresión oral para el empleo",13,"2014/2015"
"UP LOMO BLANCO","OCTUBRE 2014","Manipulación de alimentos",23,"2014/2015"