"nombre","coordenadaX","coordenadaY"
"Plaza Santo Domingo",28.098735679703992,-15.415960103273392
"Plaza Pilar Nuevo",28.10109936410428,-15.414215326309204
"Plaza Espíritu Santo",28.099919894462833,-15.416345000267029
"Conjunto Plaza Sta. Ana",28.100678210936135,-15.415222495794296
"Hurtado de Mendoza (Las Ranas)",28.102196010805503,-15.415607392787933
"Plaza de Cairasco",28.102849024876008,-15.416390597820282
"Monumento Juan Negrín (Triana)",28.103397932179718,-15.414981096982956
"Monumento Tomás Morales Obelisco",28.11217533553135,-15.424091219902039
"Rafael O´shanahan",28.118802863732345,-15.42484626173973
"Mon. Atis Tirma",28.121706640032315,-15.426950454711914
"Estanques Doramas (Hotel)",28.121510297555822,-15.427311211824417
"Parque Doramas (Acc. Pº Madrid)",28.12000814743399,-15.4280287027359
"Parque Doramas (El León)",28.120040083128007,-15.428103804588318
"Parque Doramas (Acc. Emilio Ley)",28.120698902544927,-15.429141819477081
"Parque Doramas (La Gruta)",28.120578257281252,-15.42943686246872
"Parque Doramas (El Lago)",28.119956104060456,-15.428396165370941
"Parque Doramas (Avenida)",28.120831375619268,-15.428427010774612
"Jardines Rubió (Cascada)",28.12026363271973,-15.429951846599579
"Jardines Rubió (El Pilón)",28.120165460205065,-15.430081933736801
"Mon. León y Castillo",28.119937179191112,-15.430348813533783
"Parque Don Benito (Clásica)",28.113270686131987,-15.42990893125534
"Plazoleta Farray (Los Niños)",28.137066367189878,-15.435553640127182
"C/. Mesa y López - Olof Palme",28.13388863243771,-15.43604850769043
"Manuel Becerra",28.14988633376691,-15.421022772789001
"Parque Sta. Catalina (Edif. Elder)",28.140858947705592,-15.43015569448471
"Parque Sta. Catalina (Parque Bajo)",28.140709943334283,-15.42905330657959
"Cia. Marina",28.113975679089286,-15.41929543018341
"Plaza Fuero de Gran Canaria (Luminosa)",28.11445355758605,-15.418721437454224
"Parque Rehoyas (Entrada)",28.10670551243263,-15.429805666208267
"Parque Rehoyas (Cibernética)",28.107856516978277,-15.429579019546509
"Parque Castillo de la Luz (Ochavada)",28.149105898162386,-15.424712151288986
"Parque Castillo de la Luz (Surtidores)",28.148679021129922,-15.425329059362411
"Parque El Canódromo",28.112227382681294,-15.434050261974335
"República Dominicana",28.133007554198077,-15.438827276229858
"Rotonda Cesáreo González (La Minilla)",28.12281845209125,-15.441225171089172
"Parque Juan Pablo II",28.10559116738616,-15.449556112289429
"Plaza de la Feria",28.11370835009069,-15.420027673244476
"Avda. Pintor Felo Monzón",28.098412709774454,-15.454925894737244
"Rotonda Electra  (Escaleritas)",28.10571892727832,-15.440468788146973