"INVENTARIO","MATR�CULA","CLASE","MARCA","MODELO","DESTINO"
765,"9787 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
766,"9788 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
767,"9790 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
768,"9792 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
769,"9798 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
770,"9803 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
771,"9805 CGP","MOTOCICLETA","YAMAHA","YP 250","P"
773,"GC-0959-U","MOTOCICLETA","VESPA","200 CC","AR"
778,"---","GRUPO ELECTROGENO","INDAR","P27","A"
779,"---","CARRETILLA ELEVADORA","STILL","R50-15","AG"
780,"---","CARRETILLA ELEVADORA","CATERPILLAR","EP15T-48E","A"
781,"---","CARROZA","","","TM"
782,"---","CARROZA","EBRO","","TM"
783,"1678 CFD","CAMION PLATAFORMA","IVECO","35C11","SML"
784,"0647 CHG","CAMION GRUA","IVECO","190E27K","SML"
785,"--","REMOLQUE","CAMPOSUR","HM-450","B"
786,"--","REMOLQUE","IBERICA","IR-750","B"
788,"5308 CDZ","TURISMO","SMART","SMART-CDI JACK BLACK","SML"
789,"5299 CDZ","TURISMO","SMART","SMART-CDI JACK BLACK","SML"
790,"5301 CDZ","TURISMO","SMART","SMART-CDI JACK BLACK","SML"
791,"5298 CDZ","TURISMO","SMART","SMART-CDI JACK BLACK","SML"
792,"--","REMOLQUE","ERKA","800","ES"
793,"8916 CFS","CAMION RECOLECTOR COMPACTADOR","SCANIA","P94DB4X2NA","SML"
794,"8891 CFS","CAMION RECOLECTOR COMPACTADOR","SCANIA","P94DB4X2NA","SML"
796,"8465 CLG","CAMION RECOLECTOR COMPACTADOR","SCANIA","P94DB4X2NA","SML"
797,"8466 CLG","CAMION RECOLECTOR COMPACTADOR","SCANIA","P94DB4X2NA","SML"
798,"8468 CLG","CAMION RECOLECTOR COMPACTADOR","SCANIA","P94DB4X2NA","SML"
799,"6532 CND","CAMION GRUA","NISSAN","CABSTAR 120.35/3","TM"
800,"E-3178-BCM","MOTOCICLETA","BOMBARDIER","RALLY","B"
801,"4813 CNS","FURGONETA MIXTA","VOLKSWAGEN","CADDY COMBI 1,4 60CV","P"
802,"2210 CPL","CAMION","MERCEDES BENZ","U400","B"
803,"0215 CPN","TURISMO","RENAULT","CLIO","P"
804,"0218 CPN","TURISMO","RENAULT","CLIO","P"
805,"0221 CPN","TURISMO","RENAULT","MEGANE","P"
806,"0225 CPN","TURISMO","RENAULT","MEGANE","P"
808,"0560 CRC","TURISMO","NISSAN","TERRANO","P"
811,"5674 CRZ","CAMION BOMBEROS","MERCEDES BENZ","1528 F","B"
812,"9246 CSZ","VEHICULO MIXTO ADAPTABLE","NISSAN","TERRANO","P"
814,"4755 CWK","TURISMO","RENAULT","CLIO","A"
815,"HORMIGONERA","HORMIGONERA","","","TM"
816,"HORMIGONERA","HORMIGONERA","","","TM"
818,"CARROZA","CARROZA","SCANIA","","TM"
821,"7694 CWB","VEHICULO MIXTO ADAPTABLE","FIAT","DUCATO 11 PANORAMA","P"
822,"8631 CWB","VEHICULO MIXTO ADAPTABLE","FIAT","DUCATO 11 PANORAMA","P"
823,"5556 CTV","CAMION BOMBEROS","MERCEDES BENZ","923","B"
824,"5572 CTV","CAMION BOMBEROS","MERCEDES BENZ","923","B"
825,"5014 CZK","CAMION CISTERNA","SCANIA","P114DB6X2*4NA","SML"
826,"5015 CZK","CAMION CISTERNA","SCANIA","P114DB6X2*4NA","SML"
828,"8588 CWL","TURISMO","RENAULT","MEGANE","P"
829,"9334 CWL","TURISMO","RENAULT","MEGANE","P"
830,"9097 DCB","CAMION CAJA","IVECO","029L12","SML"
831,"9094 DCB","CAMION CAJA","IVECO","029L12","SML"
832,"9091 DCB","CAMION CAJA","IVECO","029L12","SML"
833,"9093 DCB","CAMION CAJA","IVECO","029L12","SML"
834,"5013 CZK","CAMION CISTERNA","SCANIA","P114DB6X2*4NA","SML"
835,"E-1226-BCY","DUMPER","AUSA","","M"
836,"8511 BNL","FURGON","NISSAN","TL","SML"
837,"8512 BNL","FURGON","NISSAN","TL","SML"
838,"0865 BZL","CAMION RECOLECTOR","SCANIA","94L 6X2","SML"
839,"9638 CGR","LAVACONTENEDORES","SCANIA","94L4X2-43","SML"
840,"7998 BGV","CAMION RECOLECTOR COMPACTADOR","SCANIA","94L4X2-43","SML"
841,"7999 BGV","CAMION RECOLECTOR COMPACTADOR","SCANIA","94L4X2-43","SML"
842,"GC-3101-BG","TURISMO","RENAULT","EXPRESS 1.6D","E"
844,"6408 BLK","CAMION CAJA VOLQUETE","NISSAN","CABSTAR 120.35/3","E"
845,"5632 BJW","VEHICULO MIXTO ADAPTABLE","NISSAN","TRADE","E"
846,"2626 BVP","TURISMO","SMART","SMART-CDI JACK BLACK","B"
847,"7759 DVS","MOTOCICLETA","PIAGGIO","LIBERTY 125 4T","AR"
848,"7831 DVS","MOTOCICLETA","PIAGGIO","LIBERTY 125 4T","AR"
849,"3478 BVX","VEHICULO MIXTO ADAPTABLE","IVECO","","PYJ"
850,"3719 BVX","VEHICULO MIXTO ADAPTABLE","IVECO","","PYJ"
851,"7897 DZD","MOTOCICLETA","YAMAHA","YP 250","P"
852,"2972 DZF","MOTOCICLETA","YAMAHA","YP 250","P"
853,"2974 DZF","MOTOCICLETA","YAMAHA","YP 250","P"
854,"2978 DZF","MOTOCICLETA","YAMAHA","YP 250","P"
855,"2981 DZF","MOTOCICLETA","YAMAHA","YP 250","P"
856,"2984 DZF","MOTOCICLETA","YAMAHA","YP 250","P"
857,"2986 DZF","MOTOCICLETA","YAMAHA","YP 250","P"
858,"2989 DZF","MOTOCICLETA","YAMAHA","YP 250","P"
859,"2990 DZF","MOTOCICLETA","YAMAHA","YP 250","P"
860,"2997 DZF","MOTOCICLETA","YAMAHA","YP 250","P"
861,"3000 DZF","MOTOCICLETA","YAMAHA","YP 250","P"
862,"3059 DZF","MOTOCICLETA","YAMAHA","YP 250","P"
863,"3062 DZF","MOTOCICLETA","YAMAHA","YP 250","P"
864,"7860 DZD","MOTOCICLETA","YAMAHA","YP 250","P"
865,"2994 DZF","MOTOCICLETA","YAMAHA","YP 250","P"
866,"2998 DZF","MOTOCICLETA","YAMAHA","YP 250","P"
867,"5029 DZL","MOTOCICLETA","YAMAHA","XT660R","P"
868,"5040 DZL","MOTOCICLETA","YAMAHA","XT660R","P"
869,"5051 DZL","MOTOCICLETA","YAMAHA","XT660R","P"
870,"5061 DZL","MOTOCICLETA","YAMAHA","XT660R","P"
871,"5068 DZL","MOTOCICLETA","YAMAHA","XT660R","P"
872,"5078 DZL","MOTOCICLETA","YAMAHA","XT660R","P"
873,"5093 DZL","MOTOCICLETA","YAMAHA","XT660R","P"
874,"8344 FCM","VEHICULO MIXTO ADAPTABLE","RENAULT","MASTER 3.500 COMBI","P"
875,"8350 FCM","VEHICULO MIXTO ADAPTABLE","RENAULT","MASTER 3.500 COMBI","P"
876,"8128 BVM","VEHICULO MIXTO ADAPTABLE","SEAT","INCA 1.4","PYJ"
877,"8163 BVM","VEHICULO MIXTO ADAPTABLE","SEAT","INCA 1.4","PYJ"
878,"7092 FFX","FURGON","MERCEDES BENZ","815 D","B"
879,"7145 FFX","FURGON","MERCEDES BENZ","111 CDI","B"
880,"1349 FDB","CAMION CAJA","TOYOTA","HILUX","B"
881,"1354 FDB","CAMION CAJA","TOYOTA","HILUX","B"
882,"0902 CBJ","CAMION CAJA","NISSAN","TRADE","SML"
883,"0868 CBJ","CAMION CAJA","NISSAN","TRADE","SML"
884,"4591 FJK","CAMION","MERCEDES BENZ","2644 6X4","B"
885,"6583 FKN","MOTOCICLETA","PIAGGIO","LIBERTY 125 4T","AR"
886,"6585 FKN","MOTOCICLETA","PIAGGIO","LIBERTY 125 4T","AR"
887,"","PALA CARGADORA","CATERPILLAR","963B","SML"
888,"","COMPACTADOR","CATERPILLAR","826G","SML"
889,"0233 FJX","MOTOCICLETA","YAMAHA","FZ6-S","P"
890,"0238 FJX","MOTOCICLETA","YAMAHA","FZ6-S","P"
891,"0241 FJX","MOTOCICLETA","YAMAHA","FZ6-S","P"
892,"0246 FJX","MOTOCICLETA","YAMAHA","FZ6-S","P"
893,"0252 FJX","MOTOCICLETA","YAMAHA","FZ6-S","P"
894,"3526 BHB","CAMION","MERCEDES BENZ","1528 F","B"
895,"GC-5704-CB","CAMION BOMBEROS","MERCEDES BENZ","1124AF","B"
896,"GC-5705-CB","CAMION BOMBEROS","MERCEDES BENZ","1124AF","B"
897,"GC-9772-CB","CAMION BOMBEROS","MERCEDES BENZ","2031","B"
898,"GC-9773-CB","CAMION BOMBEROS","MERCEDES BENZ","2031","B"
899,"GC-0440-BL","CAMION BOMBEROS","MERCEDES BENZ","2031","B"
902,"E-5357-BBB","CRIBADORA","KASSBOHRER","","PL"
905,"GC-7857-CH","FURGON","NISSAN","","PL"
906,"GC-4389-CF","VEHICULO LIGERO","RENAULT","","PL"
907,"905294","BARREDORA","APPLIED","","PL"
909,"9540 BVB","CAMION CUBA","IVECO","","PL"
910,"0161 BSJ","FURGONETA","NISSAN","","PL"
911,"GC-2115-AF","MOTOCICLETA","BMW","R 65","PC"
912,"GC-3398-BB","MOTOCICLETA","YAMAHA","XT 350","P"
913,"1452 GFB","CAMION BOMBEROS","MERCEDES BENZ","816","B"
914,"5542 GFD","FURGON","PEUGEOT","BOXER FG 435 L4H2","PC"
915,"L7-GC1-102","BARCAZA CON MOTOR","DUCATO","","P"
916,"8959 FZR","MOTOCICLETA","PIAGGIO","LIBERTY 125 4T","AR"
917,"2388 GCV","CAMION BOMBEROS","MERCEDES BENZ","","B"
918,"2406 GCV","CAMION BOMBEROS","MERCEDES BENZ","","B"
919,"E-1040-BFK","MAQUINA SERVICIO AUTOMOTRIZ","YAMAHA","KODIAK YFM400 FW","B"
920,"1712-GHP","FURGON OFICINA","RENAULT","MASTER","P"
921,"9836-FHW","MOTOCICLETA","PIAGGIO","BEVERLY 250IE","P"
922,"9920 DGZ","JEEP","FORD","RANGER","SML"
923,"4865-GJV","FURGON","FIAT","COMER DUCATO 30","A"
924,"3441-GKS","MOTOCICLETA","YAMAHA","YP 250","P"
925,"3447-GKS","MOTOCICLETA","YAMAHA","YP 250","P"
926,"3476-GKS","MOTOCICLETA","YAMAHA","YP 250","P"
927,"3489-GKS","MOTOCICLETA","YAMAHA","YP 250","P"
928,"3509-GKS","MOTOCICLETA","YAMAHA","YP 250","P"
929,"3517-GKS","MOTOCICLETA","YAMAHA","YP 250","P"
930,"3589-GKS","MOTOCICLETA","YAMAHA","YP 250","P"
931,"3640-GKS","MOTOCICLETA","YAMAHA","YP 250","P"
932,"4371-GKS","MOTOCICLETA","YAMAHA","YP 250","P"
933,"","BICICLETA","BH","BI 0023","P"
934,"","BICICLETA","BH","BI 0023","P"
935,"","BICICLETA","BH","BI 0023","P"
936,"","BICICLETA","BH","BI 0023","P"
937,"","BICICLETA","TREK","TBI 1380","P"
938,"","BICICLETA","TREK","TBI 1380","P"
945,"9806-GYT","TURISMO","VOLKSWAGEN","GOLF","P"
946,"9896-GYT","TURISMO","VOLKSWAGEN","GOLF","P"
947,"9945-GYYT","TURISMO","VOLKSWAGEN","GOLF","P"
948,"1529 GXK","TURISMO","RENAULT","MEGANE","P"
949,"1545 GXK","TURISMO","RENAULT","MEGANE","P"
950,"1549 GXK","TURISMO","RENAULT","MEGANE","P"
951,"GC-3835-BG","VEHICULO","SEAT","TOLEDO 2.0","PC"
952,"GC-7505-CC","CAMION FURGON","VOLKSWAGEN","CADDY 1.4","P"
954,"6117-CBR","VEHICULO MIXTO ADAPTABLE","RENAULT","KANGOO","PC"
957,"0322-HBT","MOTOCICLETA","ERIDER","BERECO","P"
958,"0324-HBT","MOTOCICLETA","ERIDER","BERECO","P"
959,"0331-HBT","MOTOCICLETA","ERIDER","BERECO","P"
960,"0342-HBT","MOTOCICLETA","ERIDER","BERECO","P"
961,"6934-HBR","MOTOCICLETA","HONDA","NT700VA","P"
962,"1816-HBS","MOTOCICLETA","HONDA","NT700VA","P"
963,"1817-HBS","MOTOCICLETA","HONDA","NT700VA","P"
964,"1818-HBS","MOTOCICLETA","HONDA","NT700VA","P"
965,"1819-HBS","MOTOCICLETA","HONDA","NT700VA","P"
966,"1820-HBS","MOTOCICLETA","HONDA","NT700VA","P"
967,"1821-HBS","MOTOCICLETA","HONDA","NT700VA","P"
968,"1822-HBS","MOTOCICLETA","HONDA","NT700VA","P"
969,"1823-HBS","MOTOCICLETA","HONDA","NT700VA","P"
970,"1847-HBS","MOTOCICLETA","HONDA","NT700VA","P"
971,"","BICICLETA","BH","BOLERO 24","P"
972,"","BICICLETA","BH","BOLERO 24","P"
973,"","BICICLETA","BH","BOLERO 24","P"
974,"","BICICLETA","BH","BOLERO 24","P"
975,"","BICICLETA","BH","BOLERO 24","P"
976,"","BICICLETA","BH","BOLERO 24","P"
977,"","BICICLETA","BH","BOLERO 24","P"
978,"","BICICLETA","BH","BOLERO 24","P"
979,"","BICICLETA","BH","BOLERO 24","P"
980,"","BICICLETA","BH","BOLERO 24","P"
981,"","BICICLETA","BH","BOLERO 24","P"
982,"","BICICLETA","BH","BOLERO 24","P"
983,"","BICICLETA","BH","BOLERO 24","P"
984,"","BICICLETA","BH","BOLERO 24","P"
985,"","BICICLETA","BH","BOLERO 24","P"
986,"","BICICLETA","BH","BOLERO 26","P"
987,"","BICICLETA","BH","BOLERO 26","P"
988,"","BICICLETA","BH","BOLERO 26","P"
989,"","BICICLETA","BH","BOLERO 26","P"
990,"","BICICLETA","BH","BOLERO 26","P"
991,"","BICICLETA","BH","BOLERO 26","P"
992,"","BICICLETA","BH","BOLERO 26","P"
993,"","BICICLETA","BH","BOLERO 20","P"
994,"","BICICLETA","BH","BOLERO 20","P"
995,"","BICICLETA","BH","BOLERO 20","P"
996,"","BICICLETA","BH","BOLERO 20","P"
997,"","BICICLETA","BH","BOLERO 20","P"
998,"","BICICLETA","BH","BOLERO 20","P"
999,"","BICICLETA","BH","BOLERO 20","P"
1000,"","BICICLETA","BH","BOLERO 20","P"
1001,"","TRICICLO","GOMIER","","P"
1002,"","TRICICLO","GOMIER","","P"
1003,"","BICICLETA","BH","CALIFORNIA 20","P"
1004,"","BICICLETA","BH","CALIFORNIA 20","P"
1005,"","BICICLETA","BH","CALIFORNIA 20","P"
1006,"","BICICLETA","BH","CALIFORNIA 20","P"
1007,"","BICICLETA","BH","CALIFORNIA 20","P"
1008,"","BICICLETA","BH","CALIFORNIA 20","P"
1009,"","BICICLETA","BH","CALIFORNIA 20","P"
1010,"","BICICLETA","BH","CALIFORNIA 20","P"
1011,"","BICICLETA","BH","CALIFORNIA 20","P"
1012,"","BICICLETA","BH","CALIFORNIA 20","P"
1013,"","BICICLETA","BH","CALIFORNIA 20","P"
1014,"","BICICLETA","BH","CALIFORNIA 20","P"
1015,"","KART MONOPLAZA","HONDA","GX120","P"
1016,"","KART MONOPLAZA","HONDA","GX120","P"
1017,"","KART MONOPLAZA","HONDA","GX120","P"
1018,"","KART MONOPLAZA","HONDA","GX120","P"
1019,"","KART MONOPLAZA","HONDA","GX120","P"
1020,"","KART MONOPLAZA","HONDA","GX120","P"
1021,"","KART BIPLAZA","HONDA","GX200","P"
1022,"","KART BIPLAZA","HONDA","GX200","P"
1023,"1743-DBB","TURISMO","RENAULT","MEGANE","PYJ"
1024,"4301-DCP","TURISMO","RENAULT","CLIO","PYJ"
1025,"4176-DCP","TURISMO","RENAULT","CLIO","PYJ"
1026,"1234-DPN","TURISMO TODO TERRENO","KIO","SORENTO","PYJ"
1027,"1679-DBG","VEHICULO MIXTO ADAPTABLE","FIAT","DOBLO","PYJ"
1028,"1692-DBG","VEHICULO MIXTO ADAPTABLE","KIO","DOBLO","PYJ"
1029,"2110-DBB","VEHICULO MIXTO ADAPTABLE","RENAULT","KANGOO","PYJ"
1030,"2140-DBB","VEHICULO MIXTO ADAPTABLE","RENAULT","KANGOO","PYJ"
1031,"E-0933-BCW","MAQUINARIA OBRAS","BATANERO","YUMBO 5000-2BH","PYJ"
1032,"E-1779-BCW","TRACTOR","NEW HOLLAND","TD95D(4WD)","PYJ"
1033,"6141-DBG","TURISMO TODO TERRENO","SUZUKI","VITARA","TM"
1034,"6480-DBG","TURISMO TODO TERRENO","SUZUKI","VITARA","TM"
1035,"6492-DBG","TURISMO TODO TERRENO","SUZUKI","VITARA","TM"
1037,"7847-DBG","TURISMO TODO TERRENO","SUZUKI","VITARA","TM"
1038,"3215-DND","TURISMO","RENAULT","MEGANE","TM"
1039,"5112-DSD","CAMION","NISSAN","CABSTAR 120.35/3","E"
1040,"GC-0074-BV","CAMION","SCANIA","","E"
1041,"3387-BSK","CAMION","SCANIA","","E"
1042,"0379-BHV","TURISMO","RENAULT","MEGANE","E"
1043,"0377-BHV","TURISMO FURGONETA","RENAULT","KANGOO","E"
1044,"5155-BJH","TURISMO FURGONETA","RENAULT","KANGOO","E"
1045,"5129-DSD","CAMION CAJA","NISSAN","ATLEON","E"
1046,"E-7568-BCF","BARREDORA","RAVO","","SML"
1047,"5900-BKS","FURGONETA","NISSAN","TRADE","E"
1048,"9287- DMZ","TURISMO FURGONETA","RENAULT","KANGOO","E"
1049,"7157-DMR","TURISMO","RENAULT","MEGANE","E"
1050,"0217-DPT","CAMION","NISSAN","CABSTAR 120.35/3","E"
1051,"1468-DSY","CAMION","IVECO","","E"
1052,"0378-BHV","TURISMO FURGONETA","RENAULT","KANGOO","E"
1053,"9299-DMZ","TURISMO FURGONETA","RENAULT","KANGOO","E"
1054,"9296-DMZ","TURISMO FURGONETA","RENAULT","KANGOO","E"
1055,"2120-DBB","VEHICULO MIXTO ADAPTABLE","RENAULT","KANGOO","TM"
1056,"2129-DBB","VEHICULO MIXTO ADAPTABLE","RENAULT","KANGOO","B"
1057,"9916-DBF","FURGON","PEUGEOT","BOXCF FG 350LH 2","B"
1058,"0019-CBG","FURGON","PEUGEOT","BOXCF FG 350LH 2","PYJ"
1059,"0499-DBG","FURGON","PEUGEOT","BOXCF FG 350LH 2","PYJ"
1060,"1673-DBG","VEHICULO MIXTO ADAPTABLE","IVECO","35C12","P"
1061,"1955-DBP","VEHICULO MIXTO ADAPTABLE","RENAULT","KANGOO","B"
1062,"7990-DCK","CAMION PLATAFORMA","NISSAN","CABSTAR 120.35/3","A"
1063,"5541-DCP","CAMION PLATAFORMA","IVECO","50C 13","A"
1064,"3580-DCZ","TURISMO","RENAULT","CLIO","TM"
1066,"2242-DFC","VEHICULO MIXTO ADAPTABLE","PEUGEOT","BOXCF CB 330 MH 2","SP"
1067,"2300-DFC","VEHICULO MIXTO ADAPTABLE","PEUGEOT","BOXCF CB 330 MH 2","PYJ"
1069,"7929-DFX","VEHICULO MIXTO ADAPTABLE","PEUGEOT","BOXCF CB 330 MH 2","PYJ"
1070,"0804-DHD","CAMION","NISSAN","CABSTAR 120.35/3","PYJ"
1073,"8418-DPM","VEHICULO MIXTO ADAPTABLE","KIA","KIA PREGIO","VOSA"
1074,"8436-DPM","VEHICULO MIXTO ADAPTABLE","KIA","KIA PREGIO","TM"
1075,"8451-DPM","VEHICULO MIXTO ADAPTABLE","KIA","KIA PREGIO","VOSA"
1076,"8467-DPM","VEHICULO MIXTO ADAPTABLE","KIA","KIA PREGIO","DE"
1077,"8494-DPM","FURGON","KIA","KIA PREGIO","DE"
1078,"8571-DPM","CAMION CAJA","KIA","FRONTIER","CDIPG"
1079,"0097-DPT","CAMION CAJA","KIA","FRONTIER","M"
1080,"5721-FGH","CAMION CAJA","IVECO","ML 150E24","PYJ"
1081,"R-5979-BBT","REMOLQUE","SAELEN","MV MAXOR","PYJ"
1082,"3394-HLX","TURISMO","NISSAN","JUKE 1.6 I ACENTA","PAT"
1088,"---","COMPACTADOR","CATERPILLAR","816","SML"
1090,"7466-BDF","TURISMO","SEAT","IBIZA 1.4 5V 3P","B"
1091,"0432-BLV","TURISMO","TOYOTA","1.3 YARIS 3D","P"
1092,"1041-BLP","TURISMO","TOYOTA","1.3 YARIS 3D","P"
1093,"1042-BLP","TURISMO","TOYOTA","1.3 YARIS 3D","P"
1094,"3083-BRJ","VEHICULO MIXTO ADAPTABLE","RENAULT","KANGOO","PC"
1095,"3084-BRJ","VEHICULO MIXTO ADAPTABLE","RENAULT","KANGOO","PC"
1096,"B55","BICICLETA","ORBEA","SATELLITE MTB2013","P"
1097,"B56","BICICLETA","ORBEA","SATELLITE MTB2013","P"
1098,"B57","BICICLETA","ORBEA","SATELLITE MTB2013","P"
1099,"B58","BICICLETA","ORBEA","SATELLITE MTB2013","P"
1100,"B59","BICICLETA","ORBEA","SATELLITE MTB2013","P"
1101,"B60","BICICLETA","ORBEA","SATELLITE MTB2013","P"
1102,"B7","BICICLETA","BH","BI 0023","P"
1103,"B8","BICICLETA","BH","BI 0023","P"
1104,"B9","BICICLETA","BH","BI 0023","P"
1105,"B10","BICICLETA","BH","BI 0023","P"
1106,"B11","BICICLETA","OVER","X 5.5 SH 21V","P"
1107,"B12","BICICLETA","OVER","X 5.5 SH 21V","P"
1108,"B61","BICICLETA","ORBEA","SATELLITE MTB2013","P"
1109,"B62","BICICLETA","ORBEA","SATELLITE MTB2013","P"
1110,"1427-HRC","CAMION","MERCEDES BENZ","950.644/2633 C/","B"
1112,"3215-DND","TURISMO","RENAULT","MEGANE","TM"
1114,"B63","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1115,"B64","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1116,"B65","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1117,"B66","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1118,"B67","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1119,"B68","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1120,"B69","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1121,"B70","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1122,"B71","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1123,"B72","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1124,"B73","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1125,"B74","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1126,"B75","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1127,"B76","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1128,"B77","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1129,"GC-9343-CF","TURISMO TODO TERRENO","TOYOTA","RAV-4 5-D","P"
1130,"8982-JBN","MICROBUS","CITROEN","NJUMPY125MULTBUSL","P"
1131,"B78","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1132,"B79","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1133,"B80","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1134,"B81","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1135,"B82","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1136,"B83","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1137,"B84","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1138,"B85","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1139,"B86","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1140,"B87","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1141,"B88","BICICLETA","ORBEA","MX 27 40-15 2015","P"
1142,"7157-DMR","TURISMO","RENAULT","MEGANE","TM"
1143,"9312-FGN","VEHICULO MIXTO ADAPTABLE","VOLKSWAGEN","CADDY 1,9 TDI 5V","P"
1144,"8-GC-2/15","MOTO ACUATICA","YAMAHA","VX1100-C-N","PL"
1145,"B89","BICICLETA","ORBEA","MX 27 40-15 2015","AGM"
1146,"B90","BICICLETA","ORBEA","MX 27 40-15 2015","AGM"
1147,"B91","BICICLETA","ORBEA","MX 27 40-15 2015","AGM"
1148,"B92","BICICLETA","ORBEA","MX 27 40-15 2015","AGM"
1149,"2131-GGR","TURISMO","BMW","SERIE 3","P"
1150,"1522-FTR","TURISMO","DACIA","LOGAN","P"
1151,"9151-CJP","TURISMO","RENAULT","MEGANE","P"
1152,"9796-FKZ","VEHICULO MIXTO ADAPTABLE","NISSAN","PRIMASTAR","P"
1154,"7574-JKX","VEHICULO MIXTO ADAPTABLE","RENAULT","TRAFIC","P"
1155,"7579-JKX","VEHICULO MIXTO ADAPTABLE","RENAULT","TRAFIC","P"
1156,"4620-DVS","CAMION CAJA","NISSAN","NAVARA","P"
1157,"0185-JLX","TURISMO","RENAULT","MEGANE","P"
1158,"0186-JLX","TURISMO","RENAULT","MEGANE","P"
1159,"3300-BDK","TURISMO","RENAULT","MEGANE SCENIC","P"
1160,"9499-FRC","FURGON","OPEL","COMBO-C VAN","IMEF"
1161,"C-6003-BTPO","CICLOMOTOR","YAMAHA","CS50Z","P"
1162,"5911-BZL","FURGON","HYUNDAI","H-1","P"
1163,"1558-GGL","TURISMO","TOYOTA","1,3 YARIS 5-D TERRA","P"
1164,"1675-JSS","CAMION BOMBEROS","IVECO","260","B"
1165,"9357-FJG","TURISMO","RENAULT","CLIO","P"
1166,"5095-DRN","TURISMO","RENAULT","LAGUNA 2.0","P"
1167,"4928-KCV","VEHICULO MIXTO ADAPTABLE","FIAT","FIAT DUCATO","P"
1168,"4929-KCV","VEHICULO MIXTO ADAPTABLE","FIAT","FIAT DUCATO","P"
1169,"4931-KCV","VEHICULO MIXTO ADAPTABLE","FIAT","FIAT DUCATO","P"
1170,"9529-BXG","VEHICULO MIXTO ADAPTABLE","CITROEN","BERLINGO 1.4 I COMBI","P"
1171,"4824-GZN","TURISMO","TOYOTA","AURIS","P"
