IdNom;Sigles;Particules;NomVia;NomViaComposat;
"39857";"pl.";"de";"Maria Teresa Gavarró";"pl. de Maria Teresa Gavarró";
"39858";"pl.";"de";"Bulgària";"pl. de Bulgària";
"39859";"c.";"de";"Maria Teresa Duran";"c. de Maria Teresa Duran";
"39006";"c.";"de";"França";"c. de França";
"39007";"rda.";"de";"Jean Monnet";"rda. de Jean Monnet";
"39009";"pg.";"del";"Regne Unit";"pg. del Regne Unit";
"39010";"c.";"dels";"Països Baixos";"c. dels Països Baixos";
"39011";"c.";"d'";"Àustria";"c. d' Àustria";
"39012";"c.";"de";"Dinamarca";"c. de Dinamarca";
"39013";"c.";"d'";"Eslovènia";"c. d' Eslovènia";
"39014";"c.";"d'";"Eslovàquia";"c. d' Eslovàquia";
"39015";"c.";"d'";"Hongria";"c. d' Hongria";
"39016";"c.";"d'";"Itàlia";"c. d' Itàlia";
"39017";"c.";"de";"Bèlgica";"c. de Bèlgica";
"39018";"c.";"de";"Luxemburg";"c. de Luxemburg";
"39019";"c.";"d'";"Estònia";"c. d' Estònia";
"39020";"c.";"de";"Letònia";"c. de Letònia";
"39021";"c.";"de";"Lituània";"c. de Lituània";
"39022";"c.";"de";"Grècia";"c. de Grècia";
"39023";"c.";"de";"Xipre";"c. de Xipre";
"39024";"c.";"de";"Finlàndia";"c. de Finlàndia";
"39025";"c.";"de";"Suècia";"c. de Suècia";
"39026";"c.";"de";"Polònia";"c. de Polònia";
"39027";"c.";"de";"Txèquia";"c. de Txèquia";
"39028";"parc";"de";"Can Gambús";"parc de Can Gambús";
"37663";"parc";"de la";"Serra";"parc de la Serra";
"37664";"pg.";"de";"Pedro Martínez";"pg. de Pedro Martínez";
"37665";"pg.";"de";"Loja";"pg. de Loja";
"37483";"pl.";"de la";"Font de la Roca";"pl. de la Font de la Roca";
"35875";"pl.";"de la";"Sardana";"pl. de la Sardana";
"35876";"pl.";"de l'";"Advocacia";"pl. de l' Advocacia";
"33335";"pl.";"de les";"Ordidores";"pl. de les Ordidores";
"33133";"pg.";"d'";"Aragó";"pg. d' Aragó";
"32570";"pl.";"de";"Daniel Sanahuja";"pl. de Daniel Sanahuja";
"31431";"pl.";"de";"Sol i Padrís";"pl. de Sol i Padrís";
"31432";"pl.";"d'";"Isabel Vilà";"pl. d' Isabel Vilà";
"30917";"pg.";"de la";"Región de Murcia";"pg. de la Región de Murcia";
"30918";"pl.";"d'";"Agustí Masvidal";"pl. d' Agustí Masvidal";
"30460";"pl.";"de";"Maria Vinyes";"pl. de Maria Vinyes";
"30056";"pl.";"de";"Rodríguez Hurtado";"pl. de Rodríguez Hurtado";
"30058";"pl.";"de les";"Cultures";"pl. de les Cultures";
"29412";"pl.";"del";"Pla de l'Amor";"pl. del Pla de l'Amor";
"27114";"ptge.";"de";"Vila i Fusté";"ptge. de Vila i Fusté";
"27117";"parc";"de";"Tierno Galván";"parc de Tierno Galván";
"23548";"c.";"de";"Viena";"c. de Viena";
"22974";"pl.";"de";"Llorenç Juncà";"pl. de Llorenç Juncà";
"22980";"pl.";"d'";"Alberto Lavera";"pl. d' Alberto Lavera";
"22981";"parc";"del";"Nord";"parc del Nord";
"20652";"pl.";"de";"Gorgona";"pl. de Gorgona";
"20654";"pl.";"d'";"Emília Claramunt";"pl. d' Emília Claramunt";
"20655";"pl.";"de";"Carme Obradors";"pl. de Carme Obradors";
"20656";"pl.";"d'";"Eulàlia Garriga";"pl. d' Eulàlia Garriga";
"19153";"pg.";"de";"San Sebastián de los Ballesteros";"pg. de San Sebastián de los Ballesteros";
"19154";"pg.";"d'A";"Mariña Lucense";"pg. d'A Mariña Lucense";
"19155";"parc";"de la";"Romeua";"parc de la Romeua";
"19157";"pl.";"de";"Gernika";"pl. de Gernika";
"19158";"pl.";"de";"Granollers";"pl. de Granollers";
"19159";"camí";"del";"Molí Xic";"camí del Molí Xic";
"19160";"pl.";"de";"Pere Calders";"pl. de Pere Calders";
"19161";"camí";"del";"Molí d'en Fontanet";"camí del Molí d'en Fontanet";
"18650";"pl.";"del";"Voluntariat";"pl. del Voluntariat";
"18024";"c.";"de";"Susqueda";"c. de Susqueda";
"18025";"c.";"de";"Matamala";"c. de Matamala";
"18026";"c.";"de";"Siurana";"c. de Siurana";
"18027";"c.";"de la";"Baells";"c. de la Baells";
"18028";"c.";"de la";"Llosa del Cavall";"c. de la Llosa del Cavall";
"18029";"c.";"de";"Banyoles";"c. de Banyoles";
"18030";"ptge.";"de";"Cotlliure";"ptge. de Cotlliure";
"17920";"pl.";"d'";"Ernest Lluch";"pl. d' Ernest Lluch";
"11816";"pl.";"de l'";"Imperial";"pl. de l' Imperial";
"11817";"pl.";"de";"Joan Oliu";"pl. de Joan Oliu";
"11818";"pl.";"d'";"Adolf Cabané";"pl. d' Adolf Cabané";
"11819";"parc";"de la";"Clota";"parc de la Clota";
"11821";"pl.";"de";"Maty Mont";"pl. de Maty Mont";
"9305";"c.";"de";"Porto";"c. de Porto";
"9307";"c.";"de";"Can Moragues";"c. de Can Moragues";
"9308";"c.";"de";"Can Gener";"c. de Can Gener";
"9309";"c.";"de";"Can Pobla";"c. de Can Pobla";
"9310";"c.";"de";"Can Lletget";"c. de Can Lletget";
"9313";"c.";"de";"Can Mimó";"c. de Can Mimó";
"9314";"c.";"de";"Cal Mas";"c. de Cal Mas";
"9318";"c.";"de";"Ca n'Ermengol";"c. de Ca n'Ermengol";
"9319";"c.";"dels";"Corrals Nous";"c. dels Corrals Nous";
"9322";"c.";"de";"Can Maurí";"c. de Can Maurí";
"9323";"c.";"de";"Can Manent";"c. de Can Manent";
"9361";"pl.";"de";"Matagalpa";"pl. de Matagalpa";
"9251";"c.";"de les";"Gardènies";"c. de les Gardènies";
"9255";"pl.";"de";"Garcia-Planas";"pl. de Garcia-Planas";
"9257";"pl.";"de l'";"Argub";"pl. de l' Argub";
"9258";"c.";"del";"Kurdistan";"c. del Kurdistan";
"9259";"c.";"del";"Poble Bubi";"c. del Poble Bubi";
"9262";"c.";"del";"Poble Sahrauí";"c. del Poble Sahrauí";
"9263";"c.";"del";"Tibet";"c. del Tibet";
"9264";"camí";"de";"Ca la Daniela";"camí de Ca la Daniela";
"9266";"c.";"de les";"Cases d'en Sangés";"c. de les Cases d'en Sangés";
"9267";"ptge.";"d'en";"Sangés";"ptge. d'en Sangés";
"9268";"c.";"de";"Primo Levi";"c. de Primo Levi";
"9270";"pl.";"de";"Dolors Viñas";"pl. de Dolors Viñas";
"9271";"pl.";"de";"Maria Mercè Marçal";"pl. de Maria Mercè Marçal";
"9272";"ptge.";"d'";"Avel·lí Artís";"ptge. d' Avel·lí Artís";
"9274";"camí";"del";"Molí de l'Amat";"camí del Molí de l'Amat";
"9279";"c.";"del";"Barranc de Jonqueres";"c. del Barranc de Jonqueres";
"9282";"parc";"de";"Nostra Llar";"parc de Nostra Llar";
"1665";"pg.";"dels";"Almogàvers";"pg. dels Almogàvers";
"1666";"ptge.";"de l'";"Almirall Marquet";"ptge. de l' Almirall Marquet";
"1667";"c.";"d'";"Alí Bei";"c. d' Alí Bei";
"1668";"c.";"d'";"Alguersuari i Pascual";"c. d' Alguersuari i Pascual";
"1669";"ptge.";"de l'";"Alguer";"ptge. de l' Alguer";
"1670";"c.";"d'";"Algesires";"c. d' Algesires";
"1671";"c.";"d'";"Alfons XIII";"c. d' Alfons XIII";
"1672";"c.";"d'";"Alfons Sala";"c. d' Alfons Sala";
"1673";"pl.";"d'";"Alexandria";"pl. d' Alexandria";
"1674";"via";" ";"Alexandra";"via   Alexandra";
"1675";"c.";"d'";"Alemanya";"c. d' Alemanya";
"1676";"c.";"de l'";"Alegria";"c. de l' Alegria";
"1677";"c.";"d'";"Alcubierre";"c. d' Alcubierre";
"1678";"c.";"d'";"Alcoi";"c. d' Alcoi";
"1679";"c.";"de l'";"Alcarria";"c. de l' Alcarria";
"1680";"c.";"de l'";"Advocat Viladot";"c. de l' Advocat Viladot";
"1681";"c.";"de l'";"Alcalde Ribé";"c. de l' Alcalde Ribé";
"1682";"pl.";"de l'";"Alcalde Miralles";"pl. de l' Alcalde Miralles";
"1683";"avda.";"de l'";"Alcalde Moix";"avda. de l' Alcalde Moix";
"1684";"pl.";"de l'";"Alcalde Marcet";"pl. de l' Alcalde Marcet";
"1685";"c.";"de l'";"Alcalde Crespí";"c. de l' Alcalde Crespí";
"1686";"c.";"de l'";"Albufera";"c. de l' Albufera";
"1687";"pl.";"dels";"Àlbers";"pl. dels Àlbers";
"1688";"c.";"d'";"Albéniz";"c. d' Albéniz";
"1689";"c.";"d'";"Albarrasí";"c. d' Albarrasí";
"1690";"ptge.";"de l'";"Albaicín";"ptge. de l' Albaicín";
"1691";"c.";"dels";"Ajustadors";"c. dels Ajustadors";
"1692";"c.";"d'";"Agustina d'Aragó";"c. d' Agustina d'Aragó";
"1693";"c.";"d'";"Agustí Bartra";"c. d' Agustí Bartra";
"1694";"c.";"de les";"Agudes";"c. de les Agudes";
"1695";"c.";"de l'";"Agricultura";"c. de l' Agricultura";
"1696";"c.";"d'";"Agnès Armengol";"c. d' Agnès Armengol";
"1697";"c.";"d'";"Àger";"c. d' Àger";
"1698";"c.";"de l'";"Advocat Cirera";"c. de l' Advocat Cirera";
"1699";"c.";"d'";"Adriana";"c. d' Adriana";
"1700";"pl.";"de les";"Acàcies";"pl. de les Acàcies";
"1701";"c.";"de l'";"Abat Otó";"c. de l' Abat Otó";
"1702";"c.";"de l'";"Abat Oliba";"c. de l' Abat Oliba";
"1703";"c.";"de l'";"Abat Escarré";"c. de l' Abat Escarré";
"1619";"c.";"d'";"Arnau de Vilanova";"c. d' Arnau de Vilanova";
"1620";"c.";"d'";"Armand Obiols";"c. d' Armand Obiols";
"1621";"c.";"d'";"Aristòtil";"c. d' Aristòtil";
"1622";"c.";"d'";"Arimon";"c. d' Arimon";
"1623";"c.";"d'";"Aribau";"c. d' Aribau";
"1624";"c.";"de l'";"Argentina";"c. de l' Argentina";
"1625";"c.";"de l'";"Argentera";"c. de l' Argentera";
"1626";"c.";"d'";"Archidona";"c. d' Archidona";
"1627";"c.";"de l'";"Arcàdia";"c. de l' Arcàdia";
"1628";"c.";"d'";"Arànser";"c. d' Arànser";
"1629";"c.";"d'";"Aquisgrà";"c. d' Aquisgrà";
"1630";"c.";"de l'";"Apúlia";"c. de l' Apúlia";
"1631";"c.";"dels";"Aprestadors";"c. dels Aprestadors";
"1632";"c.";"dels";"Aprenents";"c. dels Aprenents";
"1633";"c.";"dels";"Apenins";"c. dels Apenins";
"1634";"c.";"d'";"Apel.les Mestres";"c. d' Apel.les Mestres";
"1635";"c.";"d'";"Antonio Vico";"c. d' Antonio Vico";
"1636";"pl.";"d'";"Antonio Machado";"pl. d' Antonio Machado";
"1637";"c.";"d'";"Antoni Oller";"c. d' Antoni Oller";
"1638";"c.";"d'";"Antoni Maura";"c. d' Antoni Maura";
"1639";"pl.";"d'";"Antoni Llonch";"pl. d' Antoni Llonch";
"1640";"c.";"d'";"Antoni Forrellad";"c. d' Antoni Forrellad";
"1642";"c.";"d'";"Antoni Cusidó";"c. d' Antoni Cusidó";
"1643";"c.";"de les";"Antilles";"c. de les Antilles";
"1644";"c.";"d'";"Anselm Turmeda";"c. d' Anselm Turmeda";
"1645";"pl.";"d'";"Anselm Clavé";"pl. d' Anselm Clavé";
"1646";"c.";"de l'";"Anoia";"c. de l' Anoia";
"1647";"c.";"d'";"Anníbal";"c. d' Anníbal";
"1648";"c.";"d'";"Anne Frank";"c. d' Anne Frank";
"1649";"c.";"d'";"Àngel Guimerà";"c. d' Àngel Guimerà";
"1650";"pl.";"de l'";"Àngel";"pl. de l' Àngel";
"1651";"c.";"d'";"Aneto";"c. d' Aneto";
"1652";"avda.";"d'";"Andreu Nin";"avda. d' Andreu Nin";
"1653";"c.";"d'";"Andorra";"c. d' Andorra";
"1654";"c.";"dels";"Andes";"c. dels Andes";
"1655";"c.";"d'";"Amsterdam";"c. d' Amsterdam";
"1656";"pl.";"de l'";"Amistat";"pl. de l' Amistat";
"1657";"c.";"d'";"Amílcar Barca";"c. d' Amílcar Barca";
"1658";"c.";"d'";"Amèrica";"c. d' Amèrica";
"1659";"raval";"d'";"Amàlia";"raval d' Amàlia";
"1660";"pl.";"d'";"Amadeu Aragay";"pl. d' Amadeu Aragay";
"1661";"pl.";"de les";"Alzines";"pl. de les Alzines";
"1662";"c.";"dels";"Alps";"c. dels Alps";
"1663";"c.";"de";"Bolvir";"c. de Bolvir";
"1664";"c.";"de l'";"Almudena";"c. de l' Almudena";
"1574";"c.";"de";"Bellmunt";"c. de Bellmunt";
"1575";"rda.";"de";"Bellesguard";"rda. de Bellesguard";
"1576";"ptge.";"de";"Bellaterra";"ptge. de Bellaterra";
"1577";"ctra.";"de";"Bellaterra";"ctra. de Bellaterra";
"1578";"illa";" ";"Bella";"illa   Bella";
"1579";"pg.";"de";"Béjar";"pg. de Béjar";
"1580";"c.";"de";"Begoña";"c. de Begoña";
"1581";"c.";"de";"Beethoven";"c. de Beethoven";
"1582";"pl.";"de";"Beatriu de Dia";"pl. de Beatriu de Dia";
"1583";"c.";"de";"Baygual";"c. de Baygual";
"1584";"c.";"de";"Batllevell";"c. de Batllevell";
"1585";"c.";"de la";"Baronia";"c. de la Baronia";
"1586";"pl.";"de";"Barcelona";"pl. de Barcelona";
"1587";"ctra.";"de";"Barcelona";"ctra. de Barcelona";
"1588";"avda.";"de";"Barberà";"avda. de Barberà";
"1589";"c.";"de";"Baltarga";"c. de Baltarga";
"1590";"c.";"de";"Balmes";"c. de Balmes";
"1591";"c.";"de";"Baldiri Reixac";"c. de Baldiri Reixac";
"1592";"c.";"dels";"Balcans";"c. dels Balcans";
"1593";"c.";"de";"Balaguer";"c. de Balaguer";
"1594";"c.";"de";"Bailèn";"c. de Bailèn";
"1595";"c.";"del";"Bages";"c. del Bages";
"1596";"c.";"de";"Bad Vöslau";"c. de Bad Vöslau";
"1597";"c.";"d'en";"Bac de Roda";"c. d'en Bac de Roda";
"1598";"pl.";"dels";"Avis";"pl. dels Avis";
"1599";"pl.";"dels";"Avets";"pl. dels Avets";
"1600";"c.";"d'";"Avellaneda";"c. d' Avellaneda";
"1601";"c.";"d'";"Ausiàs Marc";"c. d' Ausiàs Marc";
"1602";"pl.";"d'";"Aurora Bertrana";"pl. d' Aurora Bertrana";
"1603";"pl.";"de";"M. Aurèlia Capmany";"pl. de M. Aurèlia Capmany";
"1604";"via";" ";"Aurèlia";"via   Aurèlia";
"1605";"illa";" ";"Àurea";"illa   Àurea";
"1606";"via";" ";"Augusta";"via   Augusta";
"1607";"c.";"de l'";"Atlas";"c. de l' Atlas";
"1608";"c.";"d'";"Atlanta";"c. d' Atlanta";
"1609";"pl.";"de";"Còrdova";"pl. de Còrdova";
"1610";"pl.";"de l'";"Assemblea de Catalunya";"pl. de l' Assemblea de Catalunya";
"1611";"ptge.";"d'";"Àsdrubal";"ptge. d' Àsdrubal";
"1612";"c.";"de l'";"Arxiver Clausellas";"c. de l' Arxiver Clausellas";
"1613";"c.";"de l'";"Arxiduc d'Àustria";"c. de l' Arxiduc d'Àustria";
"1614";"c.";"de l'";"Artiga de Lin";"c. de l' Artiga de Lin";
"1615";"c.";"d'";"Artesa de Segre";"c. d' Artesa de Segre";
"1616";"avda.";"d'";"Arraona";"avda. d' Arraona";
"1617";"c.";"d'";"Arousa";"c. d' Arousa";
"1618";"c.";"d'";"Arnella";"c. d' Arnella";
"1528";"c.";"de";"Brisbane";"c. de Brisbane";
"1529";"c.";"del";"Brasil";"c. del Brasil";
"1530";"c.";"de";"Bradford";"c. de Bradford";
"1531";"c.";"de";"Boston";"c. de Boston";
"1532";"pl.";"de";"Bosch i Gimpera";"pl. de Bosch i Gimpera";
"1533";"c.";"de";"Bosch i Cardellach";"c. de Bosch i Cardellach";
"1534";"c.";"del";"Bosc";"c. del Bosc";
"1535";"trv.";"de la";"Borriana";"trv. de la Borriana";
"1536";"c.";"de la";"Borriana";"c. de la Borriana";
"1537";"c.";"de";"Borrell";"c. de Borrell";
"1538";"c.";"de";"Borràs";"c. de Borràs";
"1539";"c.";"de";"Borgonyó";"c. de Borgonyó";
"1540";"c.";"de";"Bonavista";"c. de Bonavista";
"1541";"c.";"de la";"Bona-sort";"c. de la Bona-sort";
"1542";"c.";"de la";"Bonanova";"c. de la Bonanova";
"1543";"c.";"de la";"Bonaigua";"c. de la Bonaigua";
"1544";"c.";"de";"Bombai";"c. de Bombai";
"1545";"c.";"de";"Boí";"c. de Boí";
"1546";"c.";"de";"Bofí";"c. de Bofí";
"1547";"c.";"de";"Boccaccio";"c. de Boccaccio";
"1548";"c.";"de la";"Bòbila";"c. de la Bòbila";
"1549";"c.";"";"Blau";"c.  Blau";
"1550";"c.";"de";"Blasco de Garay";"c. de Blasco de Garay";
"1551";"c.";"del";"Blanquerna";"c. del Blanquerna";
"1552";"c.";"";"Blanc";"c.  Blanc";
"1553";"c.";"de";"Bilbao";"c. de Bilbao";
"1554";"c.";"de";"Biella";"c. de Biella";
"1555";"c.";"del";"Besòs";"c. del Besòs";
"1556";"c.";"del";"Besiberri";"c. del Besiberri";
"1557";"ptge.";"de";"Besalú";"ptge. de Besalú";
"1558";"c.";"de";"Bertrand Russell";"c. de Bertrand Russell";
"1559";"c.";"de";"Bernat Metge";"c. de Bernat Metge";
"1560";"c.";"de";"Bernat Desclot";"c. de Bernat Desclot";
"1561";"c.";"de";"Bernat de Rocabertí";"c. de Bernat de Rocabertí";
"1562";"c.";"de";"Bernat Boades";"c. de Bernat Boades";
"1563";"c.";"de";"Berlín";"c. de Berlín";
"1564";"c.";"del";"Berguedà";"c. del Berguedà";
"1565";"c.";"de";"Bergen";"c. de Bergen";
"1566";"c.";"de";"Berenguer el Gran";"c. de Berenguer el Gran";
"1567";"pl.";"de";"Benjamín García";"pl. de Benjamín García";
"1568";"c.";"de";"Benidorm";"c. de Benidorm";
"1569";"c.";"de";"Benavarri";"c. de Benavarri";
"1570";"c.";"de";"Benasc";"c. de Benasc";
"1571";"c.";"de";"Bellver";"c. de Bellver";
"1572";"c.";"de";"Bellsolà";"c. de Bellsolà";
"1573";"ptge.";"de";"Bellpuig";"ptge. de Bellpuig";
"1483";"camí";"de";"Can Quadres";"camí de Can Quadres";
"1484";"c.";"de";"Can Puiggener";"c. de Can Puiggener";
"1485";"bda.";"de";"Can Puiggener";"bda. de Can Puiggener";
"1486";"c.";"de";"Can Polit";"c. de Can Polit";
"1487";"pl.";"de";"Ca n'Oriac";"pl. de Ca n'Oriac";
"1488";"pl.";"de";"Can Piteu";"pl. de Can Piteu";
"1489";"c.";"del";"Canonge Joncar";"c. del Canonge Joncar";
"1490";"c.";"de";"Can Llobateres";"c. de Can Llobateres";
"1491";"c.";"de";"Can Julià Ferrer";"c. de Can Julià Ferrer";
"1492";"c.";"del";"Canigó";"c. del Canigó";
"1493";"pl.";"de";"Ca n'Hereu";"pl. de Ca n'Hereu";
"1494";"pg.";"de";"Can Feu";"pg. de Can Feu";
"1495";"pl.";"de";"Can Ferran";"pl. de Can Ferran";
"1496";"c.";"de";"Can Fadó";"c. de Can Fadó";
"1497";"c.";"de";"Canelles";"c. de Canelles";
"1498";"avda.";"de";"Can Deu";"avda. de Can Deu";
"1499";"c.";"de";"Can Cinto";"c. de Can Cinto";
"1500";"c.";"de";"Candanchú";"c. de Candanchú";
"1501";"c.";"de";"Can Camps";"c. de Can Camps";
"1502";"avda.";"de";"Can Bordoll";"avda. de Can Bordoll";
"1503";"c.";"de";"Ca n'Alzina";"c. de Ca n'Alzina";
"1504";"c.";"del";"Canadà";"c. del Canadà";
"1505";"c.";"de";"Campoamor";"c. de Campoamor";
"1506";"pl.";"de";"Cambó";"pl. de Cambó";
"1507";"c.";"de";"Camarasa";"c. de Camarasa";
"1508";"c.";"de";"Calvet d'Estrella";"c. de Calvet d'Estrella";
"1509";"pg.";"de";"Cal Jepó";"pg. de Cal Jepó";
"1510";"ctra.";"de";"Caldes";"ctra. de Caldes";
"1511";"c.";"dels";"Calders";"c. dels Calders";
"1512";"c.";"de";"Calderón";"c. de Calderón";
"1513";"c.";"de";"Calassanç Duran";"c. de Calassanç Duran";
"1514";"c.";"de la";"Cala";"c. de la Cala";
"1515";"c.";"del";"Cadí";"c. del Cadí";
"1516";"ptge.";"de";"Cabrera";"ptge. de Cabrera";
"1517";"c.";"de";"Cabanyes";"c. de Cabanyes";
"1518";"c.";"de";"Cabdella";"c. de Cabdella";
"1520";"c.";"de";"Buxeda";"c. de Buxeda";
"1521";"c.";"de";"Bujaruelo";"c. de Bujaruelo";
"1522";"c.";"de";"Buenos Aires";"c. de Buenos Aires";
"1523";"c.";"de";"Budapest";"c. de Budapest";
"1524";"c.";"de";"Brutau";"c. de Brutau";
"1525";"c.";"de";"Prato";"c. de Prato";
"1526";"c.";"de";"Brujas";"c. de Brujas";
"1527";"c.";"del";"Bruc";"c. del Bruc";
"1436";"c.";"de";"Clavé";"c. de Clavé";
"1437";"c.";"del";"Claustre";"c. del Claustre";
"1438";"c.";"de";"Claudià";"c. de Claudià";
"1439";"c.";"de";"Ciutat del Cap";"c. de Ciutat del Cap";
"1440";"camí";"de la";"Ciutat";"camí de la Ciutat";
"1441";"c.";"de la";"Cisa";"c. de la Cisa";
"1442";"c.";"de";"Ciceró";"c. de Ciceró";
"1443";"c.";"de";"Chopin";"c. de Chopin";
"1444";"c.";"de";"Cèsar Torras";"c. de Cèsar Torras";
"1445";"c.";"de";"Cervantes";"c. de Cervantes";
"1446";"c.";"de";"Cerdanyola";"c. de Cerdanyola";
"1447";"c.";"de la";"Cerdanya";"c. de la Cerdanya";
"1448";"parc";"";"Central del Vallès";"parc  Central del Vallès";
"1449";"c.";"dels";"Celtibers";"c. dels Celtibers";
"1450";"c.";"de";"Cellers";"c. de Cellers";
"1451";"c.";"de";"Cebrià Cabané";"c. de Cebrià Cabané";
"1452";"c.";"de";"Cavallers";"c. de Cavallers";
"1453";"c.";"del";"Caucas";"c. del Caucas";
"1454";"c.";"de";"Catul";"c. de Catul";
