dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:temperature,ayto:battery,ayto:light,ayto:noise,uri
60,2017-10-31T17:51:21Z,environment,43.46078,-3.80802,14.58,83.0,,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/60.csv
661,2017-10-31T17:51:19Z,environment,43.46039,-3.81873,13.09,59.0,1.35,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/661.csv
482,2017-10-31T17:51:19Z,environment,43.4647,-3.80774,15.03,77.0,6.94,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/482.csv
519,2017-10-31T17:51:17Z,environment,43.46475,-3.80885,13.93,46.0,7.23,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/519.csv
734,2017-10-31T17:51:14Z,environment,43.45802,-3.80995,14.77,69.0,226.6,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/734.csv
228,2017-10-31T17:51:14Z,environment,43.46303,-3.81298,15.54,68.0,174.04,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/228.csv
518,2017-10-31T17:51:05Z,environment,43.46442,-3.80884,-12.9,68.0,0.09,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/518.csv
625,2017-10-31T17:43:39Z,environment,43.4582,-3.80992,-50.0,74.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/625.csv
275,2017-10-31T17:43:28Z,environment,43.46258,-3.79933,,71.0,,50.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/275.csv
650,2017-10-31T17:43:23Z,environment,43.45839,-3.80971,16.32,74.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/650.csv
527,2017-10-31T17:43:02Z,environment,43.46296,-3.80129,,65.0,,50.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/527.csv
540,2017-10-31T17:42:59Z,environment,43.46241,-3.80084,16.32,68.0,0.5,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/540.csv
538,2017-10-31T17:42:39Z,environment,43.46282,-3.80018,16.64,78.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/538.csv
652,2017-10-31T17:42:18Z,environment,43.45854,-3.80872,15.03,69.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/652.csv
641,2017-10-31T17:42:18Z,environment,43.45788,-3.81141,-50.0,68.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/641.csv
640,2017-10-31T17:42:18Z,environment,43.4584,-3.80922,14.77,73.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/640.csv
646,2017-10-31T17:42:18Z,environment,43.4592,-3.80895,15.16,70.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/646.csv
634,2017-10-31T17:42:18Z,environment,43.4591,-3.80929,14.64,69.0,780.6,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/634.csv
542,2017-10-31T17:42:03Z,environment,43.4629,-3.79948,14.77,68.0,62.14,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/542.csv
525,2017-10-31T17:42:01Z,environment,43.46349,-3.80142,14.0,67.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/525.csv
274,2017-10-31T17:41:41Z,environment,43.46248,-3.7996,14.58,68.0,137.06,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/274.csv
266,2017-10-31T17:41:15Z,environment,43.46291,-3.80069,16.32,70.0,74.35,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/266.csv
536,2017-10-31T17:41:05Z,environment,43.46301,-3.79968,15.03,69.0,64.1,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/536.csv
529,2017-10-31T17:41:03Z,environment,43.46313,-3.80097,15.74,68.0,220.79,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/529.csv
271,2017-10-31T17:40:55Z,environment,43.46251,-3.80022,14.25,71.0,199.19,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/271.csv
543,2017-10-31T17:40:49Z,environment,43.46267,-3.79951,14.25,62.0,330.29,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/543.csv
537,2017-10-31T17:40:38Z,environment,43.4628,-3.80031,15.16,58.0,88.35,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/537.csv
530,2017-10-31T17:40:38Z,environment,43.46316,-3.80046,15.22,69.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/530.csv
455,2017-10-31T17:40:22Z,environment,43.46233,-3.80013,15.54,73.0,46.91,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/455.csv
268,2017-10-31T17:40:20Z,environment,43.46322,-3.80132,267.29,54.0,6561887.4,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/268.csv
528,2017-10-31T17:40:17Z,environment,43.4631,-3.80123,15.8,73.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/528.csv
524,2017-10-31T17:39:58Z,environment,43.46268,-3.80264,15.22,72.0,2.72,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/524.csv
2566,2017-10-31T17:39:19Z,environment,43.46286,-3.80351,14.64,68.0,226.6,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/2566.csv
647,2017-10-31T17:39:13Z,environment,43.45761,-3.80995,-46.45,75.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/647.csv
273,2017-10-31T17:39:04Z,environment,43.46275,-3.7996,16.0,71.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/273.csv
541,2017-10-31T17:39:03Z,environment,43.46254,-3.80006,14.9,69.0,47.65,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/541.csv
533,2017-10-31T17:38:48Z,environment,43.46323,-3.79979,15.29,69.0,7.01,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/533.csv
400,2017-10-31T17:35:16Z,environment,43.46272,-3.79783,13.74,58.0,217.01,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/400.csv
183,2017-10-31T17:35:16Z,environment,43.46315,-3.79634,-23.48,83.0,14.53,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/183.csv
461,2017-10-31T17:35:16Z,environment,43.46321,-3.79798,15.67,70.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/461.csv
276,2017-10-31T17:35:16Z,environment,43.46326,-3.79737,14.77,70.0,359.36,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/276.csv
277,2017-10-31T17:35:16Z,environment,43.46324,-3.79764,15.29,75.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/277.csv
403,2017-10-31T17:35:16Z,environment,43.46327,-3.79711,16.12,73.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/403.csv
404,2017-10-31T17:35:16Z,environment,43.4633,-3.7968,,73.0,,50.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/404.csv
636,2017-10-31T16:16:22Z,environment,43.45781,-3.81165,19.87,70.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/636.csv
732,2017-10-31T16:15:21Z,environment,43.45647,-3.81201,,73.0,,57.2,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/732.csv
280,2017-10-31T15:55:40Z,environment,43.46308,-3.79848,15.87,76.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/280.csv
180,2017-10-31T15:55:40Z,environment,43.46301,-3.79621,-2.64,63.0,0.21,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/180.csv
399,2017-10-31T15:55:40Z,environment,43.4627,-3.79807,15.35,73.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/399.csv
642,2017-10-31T11:34:57Z,environment,43.45711,-3.81211,13.87,78.0,91.9,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/642.csv
635,2017-10-31T09:44:31Z,environment,43.45527,-3.81383,12.51,76.0,3494.54,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/635.csv
169,2017-10-31T08:54:55Z,environment,43.46224,-3.80034,17.03,31.0,3774.73,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/169.csv
6,2017-10-31T08:32:07Z,environment,43.46212,-3.79979,-50.0,82.0,,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/6.csv
459,2017-10-31T08:32:07Z,environment,43.46263,-3.7988,12.64,88.0,0.18,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/459.csv
13,2017-10-31T08:32:07Z,environment,43.46231,-3.79772,11.29,86.0,,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/13.csv
548,2017-10-31T08:32:07Z,environment,43.46266,-3.79845,12.64,90.0,0.05,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/548.csv
42,2017-10-31T08:32:07Z,environment,43.46181,-3.79944,11.54,87.0,,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/42.csv
393,2017-10-31T08:32:07Z,environment,43.46238,-3.79942,13.87,88.0,0.08,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/393.csv
460,2017-10-31T08:32:07Z,environment,43.46327,-3.79832,11.03,89.0,1.03,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/460.csv
8,2017-10-31T08:32:07Z,environment,43.46224,-3.79852,10.45,87.0,,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/8.csv
178,2017-10-31T08:32:07Z,environment,43.46269,-3.7969,-24.25,89.0,228.58,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/178.csv
394,2017-10-31T08:32:07Z,environment,43.46252,-3.79834,13.93,92.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/394.csv
11,2017-10-31T08:32:07Z,environment,43.46206,-3.79749,-31.67,87.0,,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/11.csv
281,2017-10-31T08:32:07Z,environment,43.46232,-3.79918,,84.0,,50.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/281.csv
279,2017-10-31T08:32:07Z,environment,43.46302,-3.79842,12.19,86.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/279.csv
547,2017-10-31T08:32:07Z,environment,43.46292,-3.79825,12.96,91.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/547.csv
175,2017-10-31T08:32:07Z,environment,43.46243,-3.79794,-8.9,86.0,0.16,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/175.csv
398,2017-10-31T08:32:07Z,environment,43.46262,-3.79819,,84.0,,59.2,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/398.csv
176,2017-10-31T08:32:07Z,environment,43.46248,-3.79751,11.09,91.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/176.csv
177,2017-10-31T08:32:07Z,environment,43.46252,-3.7972,-47.41,88.0,3.03,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/177.csv
174,2017-10-31T08:32:07Z,environment,43.4624,-3.79832,10.9,93.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/174.csv
546,2017-10-31T08:32:07Z,environment,43.46319,-3.79814,12.0,86.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/546.csv
171,2017-10-31T08:32:07Z,environment,43.46229,-3.79956,10.9,87.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/171.csv
12,2017-10-31T08:32:07Z,environment,43.46198,-3.79796,12.38,86.0,,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/12.csv
2,2017-10-31T08:13:14Z,environment,43.46184,-3.80202,11.09,83.0,0.54,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/2.csv
170,2017-10-31T08:11:59Z,environment,43.46225,-3.8,11.16,12.0,23.02,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/170.csv
649,2017-10-31T08:01:37Z,environment,43.45731,-3.81245,12.06,88.0,40.73,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/649.csv
407,2017-10-30T12:25:15Z,environment,43.46294,-3.79703,,41.0,,100.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/407.csv
744,2017-10-08T07:27:02Z,environment,43.45706,-3.81364,-48.12,85.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/744.csv
243,2017-10-06T13:51:26Z,environment,43.46239,-3.8052,18.64,77.0,1165.32,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/243.csv
239,2017-10-06T13:51:22Z,environment,43.46211,-3.80737,16.45,76.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/239.csv
245,2017-10-06T13:51:05Z,environment,43.46204,-3.80485,17.54,77.0,506.76,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/245.csv
237,2017-10-06T13:51:00Z,environment,43.46217,-3.80704,,77.0,,50.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/237.csv
246,2017-10-06T13:50:53Z,environment,43.46242,-3.80549,,75.0,,59.2,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/246.csv
242,2017-10-06T13:49:43Z,environment,43.46246,-3.80542,17.87,74.0,31.86,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/242.csv
232,2017-10-06T13:48:54Z,environment,43.46219,-3.80768,16.25,74.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/232.csv
234,2017-10-06T13:48:48Z,environment,43.46284,-3.80716,17.41,81.0,31.6,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/234.csv
241,2017-10-06T13:48:30Z,environment,43.46264,-3.80544,16.96,78.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/241.csv
233,2017-10-06T13:47:33Z,environment,43.4625,-3.80753,16.64,79.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/233.csv
235,2017-10-06T13:47:09Z,environment,43.46282,-3.80735,18.7,79.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/235.csv
238,2017-08-05T09:00:53Z,environment,43.46221,-3.80674,-48.83,74.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/238.csv
610,2017-06-24T06:00:16Z,environment,43.45633,-3.81094,18.12,11.0,0.08,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/610.csv
