"ANY","KILOS","MES","residuo","Gestor"
2015,8944,"GENER","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2015,6657,"FEBRER","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2015,7148,"MARÇ","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2015,11248,"ABRIL","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2015,15783,"MAIG","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2015,11100,"JUNY","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2015,9352,"JULIOL","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2015,9913,"AGOST","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2015,11886,"SETEMBRE","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2015,15019,"OCTUBRE","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2015,12755,"NOVEMBRE","ROBA","FUNDACION JOSE Mº HARO-INTRA"
2015,8666,"DESEMBRE","ROBA","FUNDACION JOSE Mº HARO-INTRA"